sample,scalar_trace
188,0.3252669709108748
189,-0.48360028582087866
190,-0.27913443745788047
191,0.33753374699968713
192,-0.6032440495732123
193,0.27215359059155214
194,-0.7895611121872986
195,-0.5059053098347623
196,0.6490398185061638
197,-0.2649878055836576
198,-0.15550534520124004
199,-0.40016451945384723
200,0.3339439611644848
201,-0.3996351727618883
202,0.0019562777427640276
203,0.28445055654960194
204,-0.17517588623497132
205,-0.876198300749154
206,-0.38697278540267327
207,-0.834877691707747
208,-0.11609608414409245
209,0.1251914011159662
210,-0.09796762659017838
211,-0.7671654191200232
212,0.11378418548700263
213,-0.010311015435422486
214,0.40495517107065454
215,0.26987262139249496
216,0.28039239548293227
217,-0.03517752943813823
218,0.2151199052813412
219,0.6421336564960806
220,-0.6509562418605968
221,0.20590801373290893
222,-0.3607685837490012
223,0.07743448878530823
224,-0.016337063995125314
225,0.3009393105926685
226,0.7790773015700965
227,-0.20868511631496753
228,-0.34139973196323525
229,0.7260385518499242
230,0.7149413454945199
231,0.309094314490109
232,0.11734478991117227
233,-0.4001931761626164
234,0.39900236513954035
235,0.3209529266423663
236,-0.7213946033769959
237,-0.39529125454403763
238,-0.021740044458336417
239,0.5759181113675419
240,-0.6757808719915867
241,0.2287558125861167
242,0.3423052040461649
243,-0.19397004417901803
244,-0.026186205655192266
245,0.0642807013999744
246,-0.8792890235043478
247,-0.3119200148275752
248,0.6527424245232712
249,0.11588235058360451
250,0.6751629143274899
251,-0.5942148713235242
252,-0.3544841741887939
253,-0.4834666099058452
254,0.11367891233317244
255,-0.7175440870114621
256,-0.18315924387472904
257,-0.5425781623275647
258,0.32492020322505594
259,0.78093366855319
260,0.8614800646759685
261,-0.2619067826428351
262,0.7706692303696934
263,0.0932788684503753
264,-0.9691695792138392
265,0.33527447140698396
266,0.4084864321046955
267,0.7723695234178304
268,-0.32651230147525157
269,-0.7138920226473321
270,-0.18457044796404073
271,0.7131767773093274
272,0.7073034202964085
273,0.22250137532286185
274,-0.2525866056810798
275,-0.27746334244271526
276,0.1906124366980606
277,0.4910937634434124
278,0.8849886612207689
279,-0.15382742474658048
280,-0.21245544901972424
281,-0.5485241557800794
282,0.5450273849363947
283,0.0628224833603835
284,-0.14410743273369445
285,0.5044164904346765
286,-0.2494755951373871
287,-0.6943672467324163
288,-0.20629061330101553
289,-0.5938368525242399
290,-0.22276449835789278
291,-0.022725896489269298
292,0.062307765222230777
293,0.04784061425761156
294,-0.24803545241623037
295,-0.6164201674900452
296,-0.07869656956224276
297,-0.5201564103018887
298,-0.15140491073716184
299,0.7241507435664789
300,0.03251802959004629
301,-0.09805343476365827
302,0.09533301157142127
303,-0.44427345798952655
304,0.4846241201298467
305,-0.5577590345432087
306,0.5449496429422505
307,0.6195622911510329
308,0.3378677070333892
309,0.25981132005886165
310,0.23832203127717305
311,-0.449311912873386
312,-0.0447823579503299
313,0.7760253270429119
314,0.7547502806006073
315,-0.2148393106062135
316,-0.3881804000962559
317,-0.020666683938796268
318,0.7582038096148819
319,-0.38513658825275066
320,-0.4880402986631162
321,-0.2379765237965141
322,-0.11384184966732754
323,-0.5569016816489661
324,0.4155632229507457
325,-0.8285089602051796
326,-0.2823908793409203
327,0.3456999423760991
328,-0.387183307383525
329,-0.7739860787505929
330,-0.8448388797643822
331,-0.27346034314369494
332,-0.4080529851832035
333,0.551207245714008
334,-0.30473947689182046
335,0.31121330490915117
336,-0.4279156838967263
337,-0.9026104189980512
338,0.14248469451844287
339,0.7981217994114203
340,0.765449794956656
341,0.29654581012606546
342,-0.5934137542018815
343,0.2994859192911297
344,0.9128211158492413
345,-0.09896038569635454
346,0.3618661260627327
347,-0.5271354908086942
348,-0.5818367455421855
349,-0.1087262330949232
350,-0.16074063820561119
351,0.12966482454049122
352,0.05835520750082246
353,0.7318335804037626
354,-0.35434817984378275
355,0.3692860393992482
356,-0.601325965684415
357,-0.718219164973112
358,-0.9372407249042791
359,0.8841422254522258
360,-0.21844289267752515
361,0.02762860534070453
362,-0.38189123433811034
363,-0.49066292570253006
364,-0.6823714913666317
365,0.7708958064010124
366,-0.871106832862848
367,-0.7430380736359794
368,0.27388522214293526
369,-0.19105330639858428
370,0.7219948562790558
371,0.012081652245941609
372,0.20328437277615075
373,-0.5662213841722898
374,-0.17940461146642742
375,0.6154792172139789
376,0.7210096982241145
377,0.2511623890077856
378,-0.1763579697562324
379,-0.5502041848608362
380,-0.8612027936347386
381,0.21588800843434613
382,0.37261570667307803
383,0.11396176771362461
384,-0.30291418071905835
385,-0.38953408721482946
386,-0.43819407082384704
387,0.5408504655344721
388,-0.7583555217787968
389,-0.1319859207608994
390,-0.6593041367215683
391,0.7365262586836226
392,0.8989445048095994
393,-0.05620706303334246
394,-0.30038358895522455
395,-0.3341698758868619
396,0.08391495624210152
397,-0.8280405257161951
398,-0.029735632595600543
399,0.33405278322251764
400,0.6322536287904599
401,0.184096661217976
402,0.05205638515039185
403,0.4949237102924684
404,0.9943758475888166
