index,s,value_lower,value_upper
1648,103/2,43036211/32000000000000000000000000000000,10759079/8000000000000000000000000000000
1649,1649/32,333697/256000000000000000000000000000,4171223/3200000000000000000000000000000
1650,825/16,40428777/32000000000000000000000000000000,20214441/16000000000000000000000000000000
1651,1651/32,19592457/16000000000000000000000000000000,39185019/32000000000000000000000000000000
1652,413/8,949483/800000000000000000000000000000,1519177/1280000000000000000000000000000
1653,1653/32,36810819/32000000000000000000000000000000,9202731/8000000000000000000000000000000
1654,827/16,35678269/32000000000000000000000000000000,17839187/16000000000000000000000000000000
1655,1655/32,8645141/8000000000000000000000000000000,34580669/32000000000000000000000000000000
1656,207/4,33516631/32000000000000000000000000000000,523699/500000000000000000000000000000
1657,1657/32,4060679/4000000000000000000000000000000,32485537/32000000000000000000000000000000
1658,829/16,787149/800000000000000000000000000000,6297213/6400000000000000000000000000000
1659,1659/32,15258619/16000000000000000000000000000000,30517343/32000000000000000000000000000000
1660,415/8,29578321/32000000000000000000000000000000,14789213/16000000000000000000000000000000
1661,1661/32,28668291/32000000000000000000000000000000,7167099/8000000000000000000000000000000
1662,831/16,1389313/1600000000000000000000000000000,5557273/6400000000000000000000000000000
1663,1663/32,13465683/16000000000000000000000000000000,26931471/32000000000000000000000000000000
1664,52,13051387/16000000000000000000000000000000,26102879/32000000000000000000000000000000
1665,1665/32,6324919/8000000000000000000000000000000,25299781/32000000000000000000000000000000
1666,833/16,12260643/16000000000000000000000000000000,24521391/32000000000000000000000000000000
1667,1667/32,4753369/6400000000000000000000000000000,475339/640000000000000000000000000000
1668,417/8,719863/1000000000000000000000000000000,23035721/32000000000000000000000000000000
1669,1669/32,5581721/8000000000000000000000000000000,22326989/32000000000000000000000000000000
1670,835/16,21639957/32000000000000000000000000000000,10820031/16000000000000000000000000000000
1671,1671/32,4194833/6400000000000000000000000000000,2097427/3200000000000000000000000000000
1672,209/4,20328857/32000000000000000000000000000000,10164481/16000000000000000000000000000000
1673,1673/32,19703403/32000000000000000000000000000000,4925877/8000000000000000000000000000000
1674,837/16,19097193/32000000000000000000000000000000,9548649/16000000000000000000000000000000
1675,1675/32,9254817/16000000000000000000000000000000,18509739/32000000000000000000000000000000
1676,419/8,2242519/4000000000000000000000000000000,17940257/32000000000000000000000000000000
1677,1677/32,17388191/32000000000000000000000000000000,2173537/4000000000000000000000000000000
1678,839/16,4213303/8000000000000000000000000000000,16853317/32000000000000000000000000000000
1679,1679/32,16334693/32000000000000000000000000000000,8167399/16000000000000000000000000000000
1680,105/2,15832127/32000000000000000000000000000000,1979029/4000000000000000000000000000000
1681,1681/32,15345023/32000000000000000000000000000000,1918141/4000000000000000000000000000000
1682,841/16,7436453/16000000000000000000000000000000,14873011/32000000000000000000000000000000
1683,1683/32,7207657/16000000000000000000000000000000,14415419/32000000000000000000000000000000
1684,421/8,13971801/32000000000000000000000000000000,6985953/16000000000000000000000000000000
1685,1685/32,13541933/32000000000000000000000000000000,6771019/16000000000000000000000000000000
1686,843/16,13125291/32000000000000000000000000000000,3281349/8000000000000000000000000000000
1687,1687/32,3180367/8000000000000000000000000000000,12721573/32000000000000000000000000000000
1688,211/4,12330069/32000000000000000000000000000000,6165087/16000000000000000000000000000000
1689,1689/32,1493839/4000000000000000000000000000000,11950817/32000000000000000000000000000000
1690,845/16,11583027/32000000000000000000000000000000,2895783/8000000000000000000000000000000
1691,1691/32,5613327/16000000000000000000000000000000,11226759/32000000000000000000000000000000
1692,423/8,5440623/16000000000000000000000000000000,10881351/32000000000000000000000000000000
1693,1693/32,2109293/6400000000000000000000000000000,1054657/3200000000000000000000000000000
1694,847/16,319437/1000000000000000000000000000000,10222089/32000000000000000000000000000000
1695,1695/32,4953743/16000000000000000000000000000000,9907591/32000000000000000000000000000000
1696,53,1200333/4000000000000000000000000000000,9602769/32000000000000000000000000000000
1697,1697/32,9307221/32000000000000000000000000000000,4653663/16000000000000000000000000000000
1698,849/16,9020867/32000000000000000000000000000000,2255243/8000000000000000000000000000000
1699,1699/32,2185831/8000000000000000000000000000000,8743429/32000000000000000000000000000000
1700,425/8,105929/400000000000000000000000000000,338977/1280000000000000000000000000000
1701,1701/32,1026699/4000000000000000000000000000000,8213697/32000000000000000000000000000000
1702,851/16,3980443/16000000000000000000000000000000,7960991/32000000000000000000000000000000
1703,1703/32,1543191/6400000000000000000000000000000,385803/1600000000000000000000000000000
1704,213/4,46741/200000000000000000000000000000,1495733/6400000000000000000000000000000
1705,1705/32,1812117/8000000000000000000000000000000,7248573/32000000000000000000000000000000
1706,853/16,439091/2000000000000000000000000000000,7025561/32000000000000000000000000000000
1707,1707/32,1361861/6400000000000000000000000000000,680941/3200000000000000000000000000000
1708,427/8,1649951/8000000000000000000000000000000,6599909/32000000000000000000000000000000
1709,1709/32,6396749/32000000000000000000000000000000,3198427/16000000000000000000000000000000
1710,855/16,6199941/32000000000000000000000000000000,3100023/16000000000000000000000000000000
1711,1711/32,1502297/8000000000000000000000000000000,6009293/32000000000000000000000000000000
1712,107/2,364019/2000000000000000000000000000000,5824409/32000000000000000000000000000000
1713,1713/32,5645109/32000000000000000000000000000000,5645213/32000000000000000000000000000000
1714,857/16,5471427/32000000000000000000000000000000,5471531/32000000000000000000000000000000
1715,1715/32,331443/2000000000000000000000000000000,662899/4000000000000000000000000000000
1716,429/8,5139929/32000000000000000000000000000000,5140033/32000000000000000000000000000000
1717,1717/32,498179/3200000000000000000000000000000,2490947/16000000000000000000000000000000
1718,859/16,1207129/8000000000000000000000000000000,241431/1600000000000000000000000000000
1719,1719/32,2339979/16000000000000000000000000000000,2340031/16000000000000000000000000000000
1720,215/4,453597/3200000000000000000000000000000,2268037/16000000000000000000000000000000
1721,1721/32,1099103/8000000000000000000000000000000,1099129/8000000000000000000000000000000
1722,861/16,1065287/8000000000000000000000000000000,1065313/8000000000000000000000000000000
1723,1723/32,2065023/16000000000000000000000000000000,82603/640000000000000000000000000000
1724,431/8,4002977/32000000000000000000000000000000,4003081/32000000000000000000000000000000
1725,1725/32,1939909/16000000000000000000000000000000,1939961/16000000000000000000000000000000
1726,863/16,58757/500000000000000000000000000000,470069/4000000000000000000000000000000
1727,1727/32,3644751/32000000000000000000000000000000,728971/6400000000000000000000000000000
1728,54,3532613/32000000000000000000000000000000,3532717/32000000000000000000000000000000
1729,1729/32,136957/1280000000000000000000000000000,3424029/32000000000000000000000000000000
1730,865/16,3318581/32000000000000000000000000000000,663737/6400000000000000000000000000000
1731,1731/32,1608239/16000000000000000000000000000000,3216583/32000000000000000000000000000000
1732,433/8,3117517/32000000000000000000000000000000,1558811/16000000000000000000000000000000
1733,1733/32,3021601/32000000000000000000000000000000,1510853/16000000000000000000000000000000
1734,867/16,732159/8000000000000000000000000000000,2928741/32000000000000000000000000000000
1735,1735/32,2838531/32000000000000000000000000000000,709659/8000000000000000000000000000000
1736,217/4,1375599/16000000000000000000000000000000,2751303/32000000000000000000000000000000
1737,1737/32,333319/4000000000000000000000000000000,2666657/32000000000000000000000000000000
1738,869/16,258451/3200000000000000000000000000000,516923/6400000000000000000000000000000
1739,1739/32,78281/1000000000000000000000000000000,2505097/32000000000000000000000000000000
1740,435/8,2427921/32000000000000000000000000000000,1214013/16000000000000000000000000000000
1741,1741/32,2353221/32000000000000000000000000000000,1176663/16000000000000000000000000000000
1742,871/16,114041/1600000000000000000000000000000,570231/8000000000000000000000000000000
1743,1743/32,1105323/16000000000000000000000000000000,8843/128000000000000000000000000000
1744,109/2,2142631/32000000000000000000000000000000,428547/6400000000000000000000000000000
1745,1745/32,2076709/32000000000000000000000000000000,2076813/32000000000000000000000000000000
1746,873/16,402563/6400000000000000000000000000000,2012919/32000000000000000000000000000000
1747,1747/32,1950887/32000000000000000000000000000000,1950991/32000000000000000000000000000000
1748,437/8,118179/2000000000000000000000000000000,236371/4000000000000000000000000000000
1749,1749/32,114543/2000000000000000000000000000000,229099/4000000000000000000000000000000
1750,875/16,888151/16000000000000000000000000000000,888203/16000000000000000000000000000000
1751,1751/32,34433/640000000000000000000000000000,860877/16000000000000000000000000000000
1752,219/4,41717/800000000000000000000000000000,104299/2000000000000000000000000000000
1753,1753/32,80867/1600000000000000000000000000000,404361/8000000000000000000000000000000
1754,877/16,1567579/32000000000000000000000000000000,1567683/32000000000000000000000000000000
1755,1755/32,1519349/32000000000000000000000000000000,1519453/32000000000000000000000000000000
1756,439/8,1472603/32000000000000000000000000000000,1472707/32000000000000000000000000000000
1757,1757/32,285459/6400000000000000000000000000000,1427399/32000000000000000000000000000000
1758,879/16,1383381/32000000000000000000000000000000,276697/6400000000000000000000000000000
1759,1759/32,670409/16000000000000000000000000000000,670461/16000000000000000000000000000000
1760,55,259913/6400000000000000000000000000000,1299669/32000000000000000000000000000000
1761,1761/32,1259581/32000000000000000000000000000000,251937/6400000000000000000000000000000
1762,881/16,1220827/32000000000000000000000000000000,1220931/32000000000000000000000000000000
1763,1763/32,591633/16000000000000000000000000000000,118337/3200000000000000000000000000000
1764,441/8,57343/1600000000000000000000000000000,286741/8000000000000000000000000000000
1765,1765/32,555787/16000000000000000000000000000000,555839/16000000000000000000000000000000
1766,883/16,538687/16000000000000000000000000000000,538739/16000000000000000000000000000000
1767,1767/32,522113/16000000000000000000000000000000,104433/3200000000000000000000000000000
1768,221/4,506049/16000000000000000000000000000000,506101/16000000000000000000000000000000
1769,1769/32,980959/32000000000000000000000000000000,981063/32000000000000000000000000000000
1770,885/16,475389/16000000000000000000000000000000,475441/16000000000000000000000000000000
1771,1771/32,36861/1280000000000000000000000000000,921629/32000000000000000000000000000000
1772,443/8,223293/8000000000000000000000000000000,223319/8000000000000000000000000000000
1773,1773/32,865691/32000000000000000000000000000000,216449/8000000000000000000000000000000
1774,887/16,52441/2000000000000000000000000000000,839161/32000000000000000000000000000000
1775,1775/32,20331/800000000000000000000000000000,162669/6400000000000000000000000000000
1776,111/2,788219/32000000000000000000000000000000,197081/8000000000000000000000000000000
