case,degree,t,energy,integrated_work,work_defect,norm_defect
reduced,5,0.6000000000000001,0.10297620607395802,0.10297620607425666,-2.986361158363593e-13,-4.8627768478581856e-14
reduced,5,0.65,0.11925476560823686,0.11925476560821975,1.7111312367035225e-14,5.10702591327572e-15
reduced,5,0.7000000000000001,0.1363218168827486,0.13632181688250777,2.408351296168121e-13,3.1530333899354446e-14
reduced,5,0.75,0.15406780549749705,0.1540678054977955,-2.984557045948577e-13,-2.353672812205332e-14
reduced,5,0.8,0.17237865642089886,0.17237865642083783,6.103451077876798e-14,1.6653345369377348e-14
reduced,5,0.8500000000000001,0.19113661094831774,0.191136610948544,-2.262634524186069e-13,-6.039613253960852e-14
reduced,5,0.9,0.21022111343566785,0.2102211134356472,2.0650148258027912e-14,4.218847493575595e-15
reduced,5,0.9500000000000001,0.2295097363375357,0.2295097363372547,2.8102520310824275e-13,7.105427357601002e-14
reduced,5,1.0,0.24887913028768116,0.24887913028789238,-2.1121993043493603e-13,-5.295763827461997e-14
reduced,5,1.05,0.2682059845848895,0.2682059845847745,1.1496359419993496e-13,3.441691376337985e-14
reduced,5,1.1,0.28736798257286206,0.28736798257320023,-3.381739333008227e-13,-1.2245759961615477e-13
reduced,5,1.1500000000000001,0.30624473613773545,0.3062447361377135,2.1926904736346842e-14,1.7763568394002505e-15
reduced,5,1.2000000000000002,0.3247186838193695,0.32471868381899754,3.719802244006587e-13,1.2989609388114332e-13
reduced,5,1.25,0.3426759379949258,0.34267593799508794,-1.6214807274650411e-13,-7.316369732279782e-14
reduced,5,1.3,0.3600070680721659,0.36000706807195365,2.1227464230832993e-13,6.750155989720952e-14
reduced,5,1.35,0.37660780864964644,0.3766078086501566,-5.101474798152594e-13,-2.1116441928370477e-13
reduced,5,1.4000000000000001,0.3923796841259567,0.3923796841259141,4.2577052994374753e-14,3.9968028886505635e-15
reduced,5,1.4500000000000002,0.40723054396857683,0.4072305439678725,7.043254868221993e-13,2.5912605394751154e-13
reduced,5,1.5,0.4210750059568577,0.42107500595752095,-6.632472349110685e-13,-2.915445662665661e-13
reduced,5,1.55,0.4338348077525577,0.43383480775241967,1.3805623311213822e-13,3.4638958368304884e-14
reduced,5,1.6,0.4454390701328203,0.445439070132925,-1.0469403122215226e-13,-2.930988785010413e-14
reduced,5,1.6500000000000001,0.4558244781240985,0.45582447812404464,5.384581669432009e-14,5.995204332975845e-15
reduced,5,1.7000000000000002,0.46493538857414357,0.4649353885731991,9.444667270486207e-13,3.0464519795714295e-13
reduced,5,1.75,0.4727238747646091,0.47272387476628697,-1.677880057115999e-12,-5.576650252692161e-13
reduced,5,1.8,0.4791497200499597,0.47914972004991907,4.063416270128073e-14,1.1102230246251565e-15
reduced,5,1.85,0.4841803731749844,0.4841803731735208,1.4636070133633439e-12,4.654054919228656e-13
reduced,5,1.9000000000000001,0.48779087819065536,0.4877908781921635,-1.5081269566508126e-12,-4.557465516086268e-13
reduced,5,1.9500000000000002,0.48996379115128524,0.4899637911512401,4.5130565951012613e-14,6.661338147750939e-16
reduced,5,2.0,0.49068909457218574,0.49068909457217497,1.0769163338864018e-14,-1.0769163338864018e-14
reduced,6,0.0,0.0,0.0,0.0,0.0
reduced,6,0.05,0.0007706665345616612,0.0007706665345576901,3.971107297162657e-15,-2.220446049250313e-15
reduced,6,0.1,0.003077912802383473,0.0030779128023926917,-9.218754232209747e-15,-3.3306690738754696e-15
reduced,6,0.15000000000000002,0.006907496736179243,0.006907496736158767,2.047667591043023e-14,-5.88418203051333e-15
reduced,6,0.2,0.012235742123724712,0.012235742123832135,-1.0742275124986378e-13,-5.739853037312059e-14
reduced,6,0.25,0.019029632079825252,0.01902963207982183,3.4208746946262636e-15,-9.992007221626409e-16
