steps,t,energy,integrated_work,norm_defect,work_defect
160,0.5625,0.09134761073950115,0.0913476522272125,2.6645352591003757e-15,-4.148771134970808e-08
160,0.575,0.09516535348557296,0.09516539815186278,2.886579864025407e-15,-4.466628981958376e-08
160,0.5875,0.09904204350837587,0.09904209148979229,3.1086244689504383e-15,-4.7981416423370504e-08
160,0.6,0.10297613221908627,0.10297618365101577,2.886579864025407e-15,-5.143192949308428e-08
160,0.6125,0.10696604685604157,0.10696610187226288,2.220446049250313e-15,-5.5016221314763136e-08
160,0.625,0.11101019113755267,0.11101024986978585,2.886579864025407e-15,-5.8732233174096926e-08
160,0.6375,0.11510694593212441,0.1151070085095768,2.886579864025407e-15,-6.257745238658075e-08
160,0.65,0.11925466994585993,0.11925473649476967,3.3306690738754696e-15,-6.654890974400196e-08
160,0.6625,0.12345170042678436,0.12345177106996448,2.6645352591003757e-15,-7.064318012506288e-08
160,0.675,0.12769635388579162,0.12769642874217432,3.3306690738754696e-15,-7.485638270354755e-08
160,0.6875,0.13198692683387306,0.13198700601805854,3.552713678800501e-15,-7.918418548635842e-08
160,0.7,0.13632169653525905,0.1363217801570677,3.552713678800501e-15,-8.362180864418534e-08
160,0.7125,0.14069892177605778,0.14069900994008927,4.218847493575595e-15,-8.816403149203289e-08
160,0.725,0.145116843647945,0.14511693645314558,3.774758283725532e-15,-9.280520057997066e-08
160,0.7375,0.14957368634642088,0.1495737838856591,4.218847493575595e-15,-9.753923821409494e-08
160,0.75,0.1540676579831094,0.15406776034276443,3.552713678800501e-15,-1.0235965502980449e-07
160,0.7625,0.15859695141154898,0.15859705867111026,3.552713678800501e-15,-1.0725956128831982e-07
160,0.775,0.16315974506587821,0.16315985729756022,3.774758283725532e-15,-1.1223168200347189e-07
160,0.7875,0.16775420381179493,0.16775432108016755,3.774758283725532e-15,-1.1726837262360235e-07
160,0.8,0.17237847980913026,0.1723786021707659,4.218847493575595e-15,-1.2236163562939772e-07
160,0.8125,0.17703071338534623,0.17703084088848592,5.10702591327572e-15,-1.2750313968523663e-07
160,0.825,0.18170903391923787,0.1817091666034778,5.551115123125783e-15,-1.3268423992851552e-07
160,0.8375,0.18641156073409124,0.18641169863008938,5.995204332975845e-15,-1.3789599814795217e-07
160,0.85,0.19113640399951615,0.1911365471287225,7.105427357601002e-15,-1.4312920634806936e-07
160,0.8625,0.19588166564115303,0.19588181401556323,7.771561172376096e-15,-1.483744102026563e-07
160,0.875,0.20064544025742334,0.20064559387935715,8.215650382226158e-15,-1.5362193381274203e-07
160,0.8875,0.20542581604247132,0.20542597490437714,7.771561172376096e-15,-1.5886190582459214e-07
160,0.9,0.21022087571442502,0.21022103979871062,7.549516567451064e-15,-1.6408428560321653e-07
160,0.9125,0.21502869744808112,0.21502886672697305,7.549516567451064e-15,-1.692788919316346e-07
160,0.925,0.21984735581110582,0.21984753024653686,7.993605777301127e-15,-1.744354310440066e-07
160,0.9375,0.22467492270282408,0.2246751022463503,8.43769498715119e-15,-1.7954352621307734e-07
160,0.95,0.2295094682946585,0.229509652887406,8.215650382226158e-15,-1.845927475041531e-07
160,0.9625,0.23434906197126706,0.23434925154390893,7.993605777301127e-15,-1.8957264186214573e-07
160,0.975,0.23919177327141852,0.23919196774418316,7.771561172376096e-15,-1.9447276464190644e-07
160,0.9875,0.2440356728276409,0.244035872110351,8.215650382226158e-15,-1.992827100838479e-07
160,1.0,0.24887883330366845,0.24887903729581257,7.771561172376096e-15,-2.039921441210346e-07
160,1.0125,0.2537193303287182,0.2537195389195522,7.549516567451064e-15,-2.0859083399438205e-07
160,1.025,0.25855524342761604,0.2585554564962975,8.215650382226158e-15,-2.130686814760807e-07
160,1.0375,0.2633846569458062,0.26338487436156044,7.549516567451064e-15,-2.1741575423339654e-07
160,1.05,0.2682056609682755,0.268205882590592,7.993605777301127e-15,-2.21622316498582e-07
160,1.0625,0.27301635223143195,0.27301657791029305,7.771561172376096e-15,-2.256788610988103e-07
160,1.075,0.27781483502698917,0.27781506460312927,6.217248937900877e-15,-2.2957614009833094e-07
160,1.0875,0.28259922209691946,0.28259945540211334,5.551115123125783e-15,-2.3330519388631288e-07
160,1.1,0.2873676355185467,0.28736787237592903,5.773159728050814e-15,-2.3685738231860043e-07
