scenario,t,a,x,F,phi,y,f,f_phi,S,C,D,Z,Wtilde,Wpump,Wdefect,energy_mismatch,defect_residual,max_r2_error
wrong,1.7000000000000002,-0.015944547558338403,0.04649457645307655,0.08910879477474883,-0.044944105881662325,-0.45549414391024,1.000020199726535,-0.0008988821176332466,0.00599478693185648,0.09245337944401301,-1.9288490000673035e-05,0.997350794961991,0.10608294100662279,0.0010830600532224397,-1.1904660007434984e-07,-1.1904660037181242e-07,-2.974625788988719e-16,1.1102230246251565e-15
wrong,1.75,-0.018381368457353723,0.05099933969607225,0.09169222461822048,-0.06763674774320381,-0.4519751431121045,1.0000457472964528,-0.0013527349548640767,0.0066328839657300185,0.09245348051604427,-2.218512901188915e-05,0.9973763332634785,0.10630342820707599,0.0013034861592711056,-5.795219552108893e-08,-5.795219583664031e-08,-3.155513777690713e-16,1.1102230246251565e-15
wrong,1.8,-0.021046405536679455,0.05561951310288213,0.09383384456972814,-0.09011808425228966,-0.4470441330330509,1.000081212691093,-0.0018023616850457937,0.007283838371786943,0.09245360715284975,-2.5328071991454423e-05,0.9974117870453669,0.10655088773250201,0.001550844466600989,4.326590047948932e-08,4.326590030754966e-08,-1.7193965471451385e-16,1.1102230246251565e-15
wrong,1.85,-0.02394486562834308,0.06033241439843185,0.09551682110532124,-0.11231788210316522,-0.4407165318971632,1.0001261530664014,-0.002246357642063305,0.007940909900583751,0.09245376380536587,-2.87124948544798e-05,0.9974567130554459,0.10682559749864336,0.0018254027110037553,1.9478763879932196e-07,1.9478763888403777e-07,8.471581493118164e-17,1.1102230246251565e-15
wrong,1.9000000000000001,-0.02708080280577094,0.06511464814517756,0.09672816145053063,-0.13416678824820766,-0.4330121226098753,1.0001800072706883,-0.002683335764964154,0.008597117417622518,0.09245395525436303,-3.232926307084257e-05,0.9975105497036231,0.10712739274466766,0.002126985581508117,4.0716315883183524e-07,4.071631588280396e-07,-3.7956605157649266e-18,1.1102230246251565e-15
wrong,1.9500000000000002,-0.030457087583507535,0.06994229935322444,0.09745864012608714,-0.15559654663884057,-0.4239549907625562,1.0002421028532593,-0.003111930932776812,0.009245332912683573,0.09245418654488731,-3.616445073343101e-05,0.9975726240765669,0.10745564235796674,0.002454951508070954,6.908498951100633e-07,6.908498950716595e-07,-3.8403838553799537e-17,1.3322676295501878e-15
wrong,2.0,-0.03407538570072005,0.07479112340201736,0.097702744294501,-0.17654021152802135,-0.41357344912712524,1.0003116644628636,-0.0035308042305604278,0.009878328017310237,0.09245446289993803,-4.019888613806906e-05,0.9976421603440712,0.10780923528956618,0.0028081796087111254,1.0556808549287423e-06,1.0556808543366915e-06,-5.920508309005751e-16,1.3322676295501878e-15
wrong,2.0500000000000003,-0.037936146331883934,0.07963673339822298,0.09745864012608714,-0.19693235666462078,-0.40189994888083447,1.0003878235310149,-0.003938647133292416,0.010488783135092728,0.09245478961284113,-4.4407748479318696e-05,0.997718289452245,0.10818657765453324,0.0031850673672632938,1.5102872690073462e-06,1.5102872692276427e-06,2.2029654068013525e-16,1.3322676295501878e-15
wrong,2.1,-0.042038599625319965,0.08445478612204571,0.09672816145053063,-0.21670927972313003,-0.38897097784573187,1.0004696291191812,-0.0043341855944626015,0.011069277802929062,0.09245517191862199,-4.876024385889793e-05,0.9978000599824985,0.10858560091316695,0.0035835394092544235,2.061503911985832e-06,2.0615039118079305e-06,-1.7790148287887345e-16,1.1102230246251565e-15
wrong,2.15,-0.046380763526993024,0.08922116766929364,0.09551682110532124,-0.23580920132745187,-0.37482694607063693,1.0005560597943068,-0.004716184026549038,0.011612285047613679,0.09245561484570573,-5.321939134829212e-05,0.9978864500406627,0.10900378132702931,0.004001067538025038,2.7137890034913174e-06,2.7137890035583423e-06,6.702487008328553e-17,1.1102230246251565e-15
