case,degree,time,time_float,action_lower,action_upper,analytic_error_upper,analytic_error_upper_float,empirical_D6_difference
original,3,0,0.0,0,0,0,0.0,0.0
original,3,1/20,0.05,128470843/1000000000000,32117711/250000000000,1064089955674410011243635189441/93750000000000000000000000000000000000000000000,1.135029286052704e-17,3.23008511441234e-12
original,3,1/10,0.1,1026816189/1000000000000,102681619/100000000000,111165706034505930131364029467921/2400000000000000000000000000000000000000000000,4.631904418104414e-14,2.0200777889469647e-11
original,3,3/20,0.15,865041001/250000000000,692032801/200000000000,229354211166973596339140596231171201/38400000000000000000000000000000000000000000000,5.972765915806604e-12,2.223201545496334e-12
original,3,1/5,0.2,4092089229/500000000000,8184178459/1000000000000,4486424494055642757485474297839590731761/24000000000000000000000000000000000000000000000000,1.8693435391898512e-10,2.5541700304319523e-11
original,3,1/4,0.25,15940400997/1000000000000,7970200499/500000000000,4035310771887940193803005525491320698001/1500000000000000000000000000000000000000000000000,2.6902071812586267e-09,6.406409403469223e-11
original,3,3/10,0.3,857864953/31250000000,27451678497/1000000000000,189301633326385077042085487064965260074027/8000000000000000000000000000000000000000000000000,2.3662704165798136e-08,5.403761686595176e-10
original,3,7/20,0.35,4341770667/100000000000,43417706671/1000000000000,3553591651643184268140306096218658592822081/24000000000000000000000000000000000000000000000000,1.48066318818466e-07,3.2259205614943357e-09
original,3,2/5,0.4,64510716211/1000000000000,16127679053/250000000000,67653066861473850108825299257378887822481/93750000000000000000000000000000000000000000000,7.216327131890545e-07,1.4903937224428965e-08
original,3,9/20,0.45,22842832067/250000000000,91371328269/1000000000000,23233706484786314281632974210767041386374107/8000000000000000000000000000000000000000000000000,2.9042133105982893e-06,5.6478048536693085e-08
original,3,1/2,0.5,124604604803/1000000000000,31151151201/250000000000,313888314812195615577300395771129561748267/31250000000000000000000000000000000000000000000,1.004442607399026e-05,1.82722313391475e-07
original,3,11/20,0.55,164776318181/1000000000000,82388159091/500000000000,15358115913555015571887458276025000432576987/500000000000000000000000000000000000000000000000,3.071623182711003e-05,5.193401523859423e-07
original,3,3/5,0.6,106204731499/500000000000,212409462999/1000000000000,678538023186270531642143291982642817525382667/8000000000000000000000000000000000000000000000000,8.481725289828381e-05,1.3245204998148157e-06
original,3,13/20,0.65,267981031643/1000000000000,66995257911/250000000000,6715138875330547681384726402911949526244747/31250000000000000000000000000000000000000000000,0.00021488444401057753,3.080402284194184e-06
original,3,7/10,0.7,165959536741/500000000000,331919073483/1000000000000,4045829562509578892374861178680111124289720507/8000000000000000000000000000000000000000000000000,0.0005057286953136973,6.615334927762531e-06
original,3,3/4,0.75,404600055793/1000000000000,202300027897/500000000000,1674880285442117102040350335349662070063126881/1500000000000000000000000000000000000000000000000,0.0011165868569614115,1.3250317406676607e-05
original,3,4/5,0.8,243173271359/500000000000,486346542719/1000000000000,55947840984100698235406980741412523520399787521/24000000000000000000000000000000000000000000000000,0.002331160041004196,2.4953724400280158e-05
original,3,17/20,0.85,144356301637/250000000000,577425206549/1000000000000,111168809149441408168753393485558079935737338801/24000000000000000000000000000000000000000000000000,0.0046320337145600585,4.4478764191391994e-05
original,3,9/10,0.9,1695112959/2500000000,678045183601/1000000000000,211365714211013836789867657217308240200258494401/24000000000000000000000000000000000000000000000000,0.008806904758792243,7.545062696824531e-05
original,3,19/20,0.95,788356784823/1000000000000,98544598103/125000000000,94304255449832944196331755078283496883534881/5859375000000000000000000000000000000000000000,0.01609459293010482,0.00012236701387616957
original,3,1,1.0,908450569081/1000000000000,454225284541/500000000000,42568193746142682670709833255507840403696423761/1500000000000000000000000000000000000000000000000,0.028378795830761788,0.00019047842752056287
original,3,21/20,1.05,1038356784823/1000000000000,129794598103/125000000000,283809201684523464858292184158124371883534881/5859375000000000000000000000000000000000000000,0.04843677042082534,0.00028552406162213274
original,3,11/10,1.1,2945112959/2500000000,1178045183601/1000000000000,641987448631392885769923100618056614066752831467/8000000000000000000000000000000000000000000000000,0.08024843107892411,0.0004133150044174293
original,3,23/20,1.15,331856301637/250000000000,1327425206549/1000000000000,3104847264058218246006523803880419526935737338801/24000000000000000000000000000000000000000000000000,0.12936863600242576,0.0005791771113621172
original,3,6/5,1.2,743173271359/500000000000,1486346542719/1000000000000,1626893239379766966369651486135512119840133262507/8000000000000000000000000000000000000000000000000,0.20336165492247088,0.0007872892464251257
original,3,5/4,1.25,1654600055793/1000000000000,827300027897/500000000000,468438040775507329121807975920507844570063126881/1500000000000000000000000000000000000000000000000,0.31229202718367155,0.0010399754225357476
original,3,13/10,1.3,915959536741/500000000000,1831919073483/1000000000000,3754083110052459429154035502572619285124289720507/8000000000000000000000000000000000000000000000000,0.46926038875655746,0.0013370277992975853
original,3,27/20,1.35,2017981031643/1000000000000,504495257911/250000000000,64778122053809484230182991139219540098578734241/93750000000000000000000000000000000000000000000,0.6909666352406345,0.0016751490618505855
original,3,7/5,1.4,1106204731499/500000000000,2212409462999/1000000000000,23958632696677790851635755542847059920452576148001/24000000000000000000000000000000000000000000000000,0.9982763623615746,0.00204760317015078
original,3,29/20,1.45,2414776318181/1000000000000,1207388159091/500000000000,708380169286743803818247441329961881500432576987/500000000000000000000000000000000000000000000000,1.4167603385734877,0.0024441506036603083
original,3,3/2,1.5,2624604604803/1000000000000,656151151201/250000000000,185359812083254462582779873065621315888685244801/93750000000000000000000000000000000000000000000,1.9771713288880477,0.0028513212558932857
original,3,31/20,1.55,710342832067/250000000000,2841371328269/1000000000000,2,2.0,0.0032530399635766604
original,3,8/5,1.6,3064510716211/1000000000000,766127679053/250000000000,2,2.0,0.0036315804282828854
original,3,33/20,1.65,329341770667/100000000000,3293417706671/1000000000000,2,2.0,0.0039687777299731
original,3,17/10,1.7,110232864953/31250000000,3527451678497/1000000000000,2,2.0,0.004247396785722118
original,3,7/4,1.75,3765940400997/1000000000000,1882970200499/500000000000,2,2.0,0.004452527252966233
original,3,9/5,1.8,2004092089229/500000000000,4008184178459/1000000000000,2,2.0,0.004572868370215949
original,3,37/20,1.85,1063365041001/250000000000,850692032801/200000000000,2,2.0,0.004601775185249419
original,3,19/10,1.9,4501026816189/1000000000000,450102681619/100000000000,2,2.0,0.004537962522509418
original,3,39/20,1.95,4750128470843/1000000000000,1187532117711/250000000000,2,2.0,0.004385798272888454
original,3,2,2.0,5,5,2,2.0,0.004155159788832834
original,4,0,0.0,0,0,0,0.0,0.0
original,4,1/20,0.05,128470843/1000000000000,32117711/250000000000,34176133674353510836629825603896289551/117187500000000000000000000000000000000000000000000000000000,2.9163634068781665e-22,1.7174507107924845e-12
original,4,1/10,0.1,1026816189/1000000000000,102681619/100000000000,11414674672901138770989341224129836844099/1200000000000000000000000000000000000000000000000000000000,9.512228894084283e-18,1.1967645510018293e-11
original,4,3/20,0.15,865041001/250000000000,692032801/200000000000,158720637175026216567618812742667449738564001/38400000000000000000000000000000000000000000000000000000000,4.1333499264329745e-15,7.516865035143019e-13
original,4,1/5,0.2,4092089229/500000000000,8184178459/1000000000000,36717698702180165003211979753776928704254423336299/120000000000000000000000000000000000000000000000000000000000000,3.0598082251816806e-13,2.32846691491429e-11
original,4,1/4,0.25,15940400997/1000000000000,7970200499/500000000000,32162235927721336104730871346970681447376598502499/3750000000000000000000000000000000000000000000000000000000000,8.576596247392356e-12,1.0897012117485252e-12
original,4,3/10,0.3,857864953/31250000000,27451678497/1000000000000,5196647577032903802177906529297078472026179624097419/40000000000000000000000000000000000000000000000000000000000000,1.299161894258226e-10,1.1470933249376475e-11
original,4,7/20,0.35,4341770667/100000000000,43417706671/1000000000000,154288799959558189710517620757774821060242738949802351/120000000000000000000000000000000000000000000000000000000000000,1.2857399996629849e-09,1.1628635017635747e-11
original,4,2/5,0.4,64510716211/1000000000000,16127679053/250000000000,1091086949293000265107363549269685944819063606190493/117187500000000000000000000000000000000000000000000000000000,9.310608633966935e-09,7.566253140867596e-11
original,4,9/20,0.45,22842832067/250000000000,91371328269/1000000000000,2122894622127004376545689403986806532800297394338730783/40000000000000000000000000000000000000000000000000000000000000,5.307236555317511e-08,3.935522365153736e-10
original,4,1/2,0.5,124604604803/1000000000000,31151151201/250000000000,9777982354941793539637755532063597968581131216718667/39062500000000000000000000000000000000000000000000000000000,2.503163482865099e-07,1.6795156169400589e-09
original,4,11/20,0.55,164776318181/1000000000000,82388159091/500000000000,1265326897223989426317646259592772326732496624061438817/1250000000000000000000000000000000000000000000000000000000000,1.0122615177791916e-06,6.0911012484730144e-09
original,4,3/5,0.6,106204731499/500000000000,212409462999/1000000000000,144127897129398734575645894287443222899390878349452438333/40000000000000000000000000000000000000000000000000000000000000,3.6031974282349683e-06,1.927861735581874e-08
original,4,13/20,0.65,267981031643/1000000000000,66995257911/250000000000,449882460860952517291252798979257359934581088573943517/39062500000000000000000000000000000000000000000000000000000,1.1516990998040385e-05,5.434406335961072e-08
original,4,7/10,0.7,165959536741/500000000000,331919073483/1000000000000,1342887999858310658269557295948247797213725487144465015881/40000000000000000000000000000000000000000000000000000000000000,3.3572199996457766e-05,1.3862294243567075e-07
original,4,3/4,0.75,404600055793/1000000000000,202300027897/500000000000,338828328469075612721503668460889942023293336577350599257/3750000000000000000000000000000000000000000000000000000000000,9.035422092508683e-05,3.2406155153820973e-07
original,4,4/5,0.8,243173271359/500000000000,486346542719/1000000000000,27210039035209749234144089077504196162715707529540549609599/120000000000000000000000000000000000000000000000000000000000000,0.00022675032529341458,7.014482122757269e-07
original,4,17/20,0.85,144356301637/250000000000,577425206549/1000000000000,64191672584922566119815844081243045355428985503779017007749/120000000000000000000000000000000000000000000000000000000000000,0.0005349306048743547,1.4177908986486852e-06
original,4,9/10,0.9,1695112959/2500000000,678045183601/1000000000000,143315504499163371822537264094401498481594479843785875518001/120000000000000000000000000000000000000000000000000000000000000,0.0011942958708263615,2.6948303704238225e-06
original,4,19/20,0.95,788356784823/1000000000000,98544598103/125000000000,9293174952706434964316739131046076503485397846126930743/3662109375000000000000000000000000000000000000000000000000,0.0025376563070857038,4.845265578768813e-06
original,4,1,1.0,908450569081/1000000000000,454225284541/500000000000,19335549916738076757288243816929713162825424391024338378701/3750000000000000000000000000000000000000000000000000000000000,0.005156146644463487,8.282077755427903e-06
original,4,21/20,1.05,1038356784823/1000000000000,129794598103/125000000000,36836901270575993716355077889749816250912723002376930743/3662109375000000000000000000000000000000000000000000000000,0.010058929840285285,1.3515756230809368e-05
original,4,11/10,1.1,2945112959/2500000000,1178045183601/1000000000000,756290221792506788289194279311249700494080238615428625172667/40000000000000000000000000000000000000000000000000000000000000,0.01890725554481267,2.1134615617606095e-05
original,4,23/20,1.15,331856301637/250000000000,1327425206549/1000000000000,4121452520795577899166130354767451058239444006007529017007749/120000000000000000000000000000000000000000000000000000000000000,0.03434543767329648,3.176490824407468e-05
original,4,6/5,1.2,743173271359/500000000000,1486346542719/1000000000000,2418127141725031094343414228982458801254904881711513516536533/40000000000000000000000000000000000000000000000000000000000000,0.06045317854312578,4.601009945415845e-05
original,4,5/4,1.25,1654600055793/1000000000000,827300027897/500000000000,387538804201593236896799698990113244067220564839702350599257/3750000000000000000000000000000000000000000000000000000000000,0.10334368112042486,6.437230471645392e-05
original,4,13/10,1.3,915959536741/500000000000,1831919073483/1000000000000,6877176452745480600981307796363320983729386629289644465015881/40000000000000000000000000000000000000000000000000000000000000,0.171929411318637,8.716285188677994e-05
original,4,27/20,1.35,2017981031643/1000000000000,504495257911/250000000000,32680255392526852766764055405505989589283284895453221830551/117187500000000000000000000000000000000000000000000000000000,0.2788715126828958,0.00011441268103928135
original,4,7/5,1.4,1106204731499/500000000000,2212409462999/1000000000000,53006305698647194509397096801297901574194459652645048357314999/120000000000000000000000000000000000000000000000000000000000000,0.4417192141553933,0.00014579591440081645
original,4,29/20,1.45,2414776318181/1000000000000,1207388159091/500000000000,855289828531692539801864634941303704806009978048499061438817/1250000000000000000000000000000000000000000000000000000000000,0.6842318628253541,0.0001805803346880312
original,4,3/2,1.5,2624604604803/1000000000000,656151151201/250000000000,121624054084828445678311593470780079436685295746518650156001/117187500000000000000000000000000000000000000000000000000000,1.0378585948572028,0.00021761722697375834
original,4,31/20,1.55,710342832067/250000000000,2841371328269/1000000000000,185199567796369907984274424292720894969001786332805933016192349/120000000000000000000000000000000000000000000000000000000000000,1.5433297316364158,0.000255378137402937
original,4,8/5,1.6,3064510716211/1000000000000,766127679053/250000000000,2,2.0,0.0002920409199610033
original,4,33/20,1.65,329341770667/100000000000,3293417706671/1000000000000,2,2.0,0.00032561923529196037
original,4,17/10,1.7,110232864953/31250000000,3527451678497/1000000000000,2,2.0,0.00035412462417426315
original,4,7/4,1.75,3765940400997/1000000000000,1882970200499/500000000000,2,2.0,0.00037574412343049517
original,4,9/5,1.8,2004092089229/500000000000,4008184178459/1000000000000,2,2.0,0.0003890144553141335
original,4,37/20,1.85,1063365041001/250000000000,850692032801/200000000000,2,2.0,0.00039297325976049563
original,4,19/10,1.9,4501026816189/1000000000000,450102681619/100000000000,2,2.0,0.0003872704749850722
original,4,39/20,1.95,4750128470843/1000000000000,1187532117711/250000000000,2,2.0,0.00037222678146762756
original,4,2,2.0,5,5,2,2.0,0.00034883170478923914
reduced,3,0,0.0,0,0,0,0.0,0.0
reduced,3,1/20,0.05,3211771/250000000000,2569417/200000000000,43585132726684215774172321/38400000000000000000000000000000000000000000000,1.1350294980907349e-21,1.1102230261066447e-16
reduced,3,1/10,0.1,51340809/500000000000,102681619/1000000000000,111165706034505930131364029467921/24000000000000000000000000000000000000000000000000,4.631904418104414e-18,1.0762750453349969e-19
reduced,3,3/20,0.15,865041/2500000000,346016401/1000000000000,14334638280791102922739141173825601/24000000000000000000000000000000000000000000000000,5.972765950329626e-16,1.3250159215242e-13
reduced,3,1/5,0.2,163683569/200000000000,409208923/500000000000,28040153101552333054034494279565041/1500000000000000000000000000000000000000000000000,1.8693435401034888e-14,1.871396092419428e-12
reduced,3,1/4,0.25,1594040099/1000000000000,15940401/10000000000,21521657460870076376277573867/80000000000000000000000000000000000000000,2.6902071826087596e-13,2.3419584183524983e-13
reduced,3,3/10,0.3,2745167849/1000000000000,54903357/20000000000,3028826134546157272062941187867/1280000000000000000000000000000000000000000,2.3662704176141855e-12,3.9457842617714387e-13
reduced,3,7/20,0.35,4341770667/1000000000000,1085442667/250000000000,1388121740074086661389460326944806321/93750000000000000000000000000000000000000000000,1.4806631894123592e-11,3.6553893538033985e-12
reduced,3,2/5,0.4,6451071621/1000000000000,3225535811/500000000000,108244907032052138901137946422951253841/1500000000000000000000000000000000000000000000000,7.216327135470143e-11,1.7358957898128027e-12
reduced,3,9/20,0.45,4568566413/500000000000,9137132827/1000000000000,6970111945741027725257223364433920301041/24000000000000000000000000000000000000000000000000,2.904213310725428e-10,1.0296204524402541e-11
reduced,3,1/2,0.5,38938939/3125000000,12460460481/1000000000000,8035540860739927290796952307483435784107/8000000000000000000000000000000000000000000000000,1.004442607592491e-09,2.0227038487382294e-11
reduced,3,11/20,0.55,8238815909/500000000000,16477631819/1000000000000,73718956399380492483489052503234844035121/24000000000000000000000000000000000000000000000000,3.0716231833075204e-09,5.2132477539491816e-11
reduced,3,3/5,0.6,21240946299/1000000000000,212409463/10000000000,2035614069597145368588534001760161/240000000000000000000000000000000000000000,8.481725289988107e-09,1.3263536654746762e-10
reduced,3,13/20,0.65,6699525791/250000000000,5359620633/200000000000,275052088358172506809119654653501144907/12800000000000000000000000000000000000000000000,2.1488444402982227e-08,3.084769265484727e-10
reduced,3,7/10,0.7,8297976837/250000000000,33191907349/1000000000000,1213748868855262988005304281314732381255601/24000000000000000000000000000000000000000000000000,5.0572869535635955e-08,6.632644297228549e-10
reduced,3,3/4,0.75,40460005579/1000000000000,2023000279/50000000000,16748802855414673771475073140847221281/150000000000000000000000000000000000000000000,1.1165868570276449e-07,1.3289501933530096e-09
reduced,3,4/5,0.8,48634654271/1000000000000,759916473/15625000000,111158372927826337385176133292051147/476837158203125000000000000000000000000000,2.3311600410233685e-07,2.505623155339622e-09
reduced,3,17/20,0.85,28871260327/500000000000,11548504131/200000000000,5929003154677947110187741202614457985307/12800000000000000000000000000000000000000000000,4.6320337145921464e-07,4.473506441616949e-09
reduced,3,9/10,0.9,1695112959/25000000000,67804518361/1000000000000,21136571422223604719085718760654221368995041/24000000000000000000000000000000000000000000000000,8.806904759259836e-07,7.60405724534697e-09
reduced,3,19/20,0.95,39417839241/500000000000,78835678483/1000000000000,38627023033427499070412581940016291387701521/24000000000000000000000000000000000000000000000000,1.6094592930594791e-06,1.2365420846346257e-08
reduced,3,1,1.0,22711264227/250000000000,90845056909/1000000000000,68109109996227422830160642963421756088386961/24000000000000000000000000000000000000000000000000,2.8378795831761427e-06,1.9313021759767496e-08
reduced,3,21/20,1.05,51917839241/500000000000,103835678483/1000000000000,116248249012667708443052700290474991387701521/24000000000000000000000000000000000000000000000000,4.8436770421944875e-06,2.907262884406142e-08
reduced,3,11/10,1.1,2945112959/25000000000,117804518361/1000000000000,64198744865101144410089353578876807122998347/8000000000000000000000000000000000000000000000000,8.024843108137643e-06,4.230549524385288e-08
reduced,3,23/20,1.15,66371260327/500000000000,26548504131/200000000000,165591854083603959739756174804434457985307/12800000000000000000000000000000000000000000000,1.2936863600281559e-05,5.966410101129404e-08
reduced,3,6/5,1.2,148634654271/1000000000000,2322416473/15625000000,29091118086292955881867189756126153441/1430511474609375000000000000000000000000000,2.0336165492301815e-05,8.17396149644136e-08
reduced,3,5/4,1.25,165460005579/1000000000000,8273000279/50000000000,4684380407823020303182118014115847221281/150000000000000000000000000000000000000000000,3.122920271882013e-05,1.0899832572725998e-07
reduced,3,13/10,1.3,45797976837/250000000000,183191907349/1000000000000,1126224933032951633974334467699044132381255601/24000000000000000000000000000000000000000000000000,4.6926038876372984e-05,1.4171786391231818e-07
reduced,3,27/20,1.35,50449525791/250000000000,40359620633/200000000000,2653311879355592511565923703623140503434721/38400000000000000000000000000000000000000000000,6.909666352488523e-05,1.7995122863328776e-07
reduced,3,7/5,1.4,221240946299/1000000000000,2212409463/10000000000,7986210898907035888784238436667253387/80000000000000000000000000000000000000000,9.982763623633795e-05,2.2346195259316222e-07
reduced,3,29/20,1.45,120738815909/500000000000,241477631819/1000000000000,3400224812621429170485920320186136334844035121/24000000000000000000000000000000000000000000000000,0.00014167603385922622,2.7171179882651564e-07
reduced,3,3/2,1.5,820188939/3125000000,262460460481/1000000000000,4745211189374705566029779760321563450307352321/24000000000000000000000000000000000000000000000000,0.00019771713289061274,3.238507833415812e-07
reduced,3,31/20,1.55,142068566413/500000000000,284137132827/1000000000000,2172654754813486345368736196055325244640100347/8000000000000000000000000000000000000000000000000,0.0002715818443516858,3.787342840152472e-07
reduced,3,8/5,1.6,306451071621/1000000000000,153225535811/500000000000,551219527906619271814084266507985022951253841/1500000000000000000000000000000000000000000000000,0.0003674796852710795,4.349589046402593e-07
reduced,3,33/20,1.65,329341770667/1000000000000,82335442667/250000000000,45956537381373110852937361294823301944806321/93750000000000000000000000000000000000000000000,0.0004902030654013132,4.909174065012616e-07
reduced,3,17/10,1.7,352745167849/1000000000000,7054903357/20000000000,2477218276187918644774763344392823563601/3840000000000000000000000000000000000000000,0.0006451089260906039,5.448730168590586e-07
reduced,3,7/4,1.75,376594040099/1000000000000,3765940401/10000000000,67045944929626576290836582381277573867/80000000000000000000000000000000000000000,0.0008380743116203323,5.950284071591138e-07
reduced,3,9/5,1.8,80163683569/200000000000,200409208923/500000000000,537711642949514172977582854758402698093188347/500000000000000000000000000000000000000000000000,0.0010754232858990282,6.396394261946243e-07
reduced,3,37/20,1.85,1063365041/2500000000,425346016401/1000000000000,10910589703696221981897557158034126947057941867/8000000000000000000000000000000000000000000000000,0.0013638237129620276,6.770822699719949e-07
reduced,3,19/10,1.9,225051340809/500000000000,450102681619/1000000000000,41043690262444916246194067766509517564029467921/24000000000000000000000000000000000000000000000000,0.0017101537609352049,7.059550499039717e-07
reduced,3,39/20,1.95,118753211771/250000000000,95002569417/200000000000,27153145724367010810720525406625051924724107/12800000000000000000000000000000000000000000000,0.0021213395097161728,7.251554680485414e-07
reduced,3,2,2.0,1/2,1/2,1/384,0.0026041666666666665,7.339455358206941e-07
reduced,4,0,0.0,0,0,0,0.0,0.0
reduced,4,1/20,0.05,3211771/250000000000,2569417/200000000000,111988380975198777641826522506857/38400000000000000000000000000000000000000000000000000000000,2.9163640878958013e-27,1.1102230246655462e-16
reduced,4,1/10,0.1,51340809/500000000000,102681619/1000000000000,11414674672901138770989341224129836844099/120000000000000000000000000000000000000000000000000000000000000,9.512228894084282e-23,3.414499934511112e-21
reduced,4,3/20,0.15,865041/2500000000,346016401/1000000000000,4960019947556164866146778690798049859682001/120000000000000000000000000000000000000000000000000000000000000,4.133349956296804e-20,9.485023906591487e-14
reduced,4,1/5,0.2,163683569/200000000000,409208923/500000000000,11474280851441339837178756208990471336060843/3750000000000000000000000000000000000000000000000000000000000,3.059808227051024e-18,1.46134257691957e-12
reduced,4,1/4,0.25,1594040099/1000000000000,15940401/10000000000,343063850110910826338491414747100667/4000000000000000000000000000000000000000000000000000,8.576596252772771e-17,2.0107802591733993e-13
reduced,4,3/10,0.3,2745167849/1000000000000,54903357/20000000000,166292722555917705686217786507465969519/128000000000000000000000000000000000000000000000000000,1.299161894968107e-15,2.5324266713670575e-13
reduced,4,7/20,0.35,4341770667/1000000000000,1085442667/250000000000,1506726563666697403327701742969662534864698107/117187500000000000000000000000000000000000000000000000000000,1.2857400009955818e-14,1.0762470803314379e-12
reduced,4,2/5,0.4,6451071621/1000000000000,3225535811/500000000000,349147823990249898844766634838228621571496800051/3750000000000000000000000000000000000000000000000000000000000,9.310608639739997e-14,3.1788570515533305e-13
reduced,4,9/20,0.45,4568566413/500000000000,9137132827/1000000000000,63686838667295187269164912622040557454943443372907/120000000000000000000000000000000000000000000000000000000000000,5.307236555607932e-13,5.32157181927967e-12
reduced,4,1/2,0.5,38938939/3125000000,12460460481/1000000000000,100126539338710588425788819222639112149966521375467/40000000000000000000000000000000000000000000000000000000000000,2.5031634834677647e-12,8.726871823477651e-12
reduced,4,11/20,0.55,8238815909/500000000000,16477631819/1000000000000,1214713821629905674833829543665464066502612143115099/120000000000000000000000000000000000000000000000000000000000000,1.0122615180249213e-11,5.102306211091832e-12
reduced,4,3/5,0.6,21240946299/1000000000000,212409463/10000000000,432383691398374274074827575271116852803543/12000000000000000000000000000000000000000000000000000,3.603197428319786e-11,1.285317046469544e-11
reduced,4,13/20,0.65,6699525791/250000000000,5359620633/200000000000,1474174847914200461667490693646739201932680066131/12800000000000000000000000000000000000000000000000000000000,1.1516990999329692e-10,1.254727498970996e-12
reduced,4,7/10,0.7,8297976837/250000000000,33191907349/1000000000000,40286639999997440788900958025951629107366052679311749/120000000000000000000000000000000000000000000000000000000000000,3.3572199999997867e-10,9.759620488611159e-12
reduced,4,3/4,0.75,40460005579/1000000000000,2023000279/50000000000,33882832849419881700388055205479334947837737399/37500000000000000000000000000000000000000000000000000000,9.035422093178635e-10,2.5311400950690276e-11
reduced,4,4/5,0.8,48634654271/1000000000000,759916473/15625000000,84471078699732473862251089695073386563844531/37252902984619140625000000000000000000000000000000000,2.2675032529574574e-09,1.3773420581898792e-11
reduced,4,17/20,0.85,28871260327/500000000000,11548504131/200000000000,68471117424510304176602641463951976043643826803217/12800000000000000000000000000000000000000000000000000000000,5.3493060487898674e-09,3.916138485384712e-11
reduced,4,9/10,0.9,1695112959/25000000000,67804518361/1000000000000,1433155045086748289622853864839661317186182813602447801/120000000000000000000000000000000000000000000000000000000000000,1.1942958709056236e-08,2.8476869162046637e-11
reduced,4,19/20,0.95,39417839241/500000000000,78835678483/1000000000000,3045187568618725678205827687981016739622879009926072643/120000000000000000000000000000000000000000000000000000000000000,2.5376563071822715e-08,5.4856687450464104e-11
reduced,4,1,1.0,22711264227/250000000000,90845056909/1000000000000,6187375973628621002312349451624079837218230706058563549/120000000000000000000000000000000000000000000000000000000000000,5.1561466446905175e-08,9.041762418583596e-11
