kappa,mean_bessel,mean_quad,mean_ode_reflected,susceptibility_quad,mean_zero_variance_root,mean_wrong_coefficient_reflected,ode_bessel_difference
-3.175,-0.5864254651585863,-0.5864254651585866,-0.5864254651585863,0.10200237208888663,-0.6335429819456626,-0.6885389772801145,0.0
-3.1499999999999995,-0.583862392724402,-0.5838623927244017,-0.5838623927244022,0.10304528471984925,-0.6314003190107627,-0.6862190485310854,2.220446049250313e-16
-3.1249999999999996,-0.5812731076411332,-0.5812731076411335,-0.5812731076411328,0.10409939099773113,-0.6292339699089637,-0.6838683759949103,3.3306690738754696e-16
-3.0999999999999996,-0.5786573295602258,-0.5786573295602256,-0.5786573295602256,0.1051647308556874,-0.6270435714659719,-0.681486470039483,1.1102230246251565e-16
-3.0749999999999997,-0.5760147771848976,-0.5760147771848979,-0.5760147771848974,0.1062413401866833,-0.6248287539470285,-0.6790728344601318,2.220446049250313e-16
-3.05,-0.5733451683735574,-0.5733451683735578,-0.5733451683735576,0.10732925065001675,-0.6225891409414649,-0.6766269665071866,2.220446049250313e-16
-3.0249999999999995,-0.5706482202481099,-0.5706482202481101,-0.57064822024811,0.1084284894733405,-0.6203243492464283,-0.6741483569218729,1.1102230246251565e-16
-2.9999999999999996,-0.5679236493072665,-0.5679236493072665,-0.5679236493072662,0.10953907925025064,-0.6180339887498947,-0.6716364899803476,2.220446049250313e-16
-2.9749999999999996,-0.5651711715449749,-0.5651711715449746,-0.5651711715449749,0.11066103773349778,-0.6157176623130822,-0.6690908435468023,0.0
-2.9499999999999997,-0.5623905025740688,-0.5623905025740688,-0.5623905025740685,0.11179437762390781,-0.6133749656524007,-0.6665108891355024,2.220446049250313e-16
-2.925,-0.5595813577552488,-0.559581357755249,-0.5595813577552489,0.11293910635510085,-0.6110054872210834,-0.6638960919828556,1.1102230246251565e-16
-2.8999999999999995,-0.5567434523314958,-0.5567434523314959,-0.5567434523314956,0.11409522587411486,-0.6086088080906557,-0.6612459111295322,2.220446049250313e-16
-2.8749999999999996,-0.5538765015680196,-0.5538765015680198,-0.5538765015680196,0.11526273241805507,-0.6061845018324215,-0.6585597995133214,0.0
-2.8499999999999996,-0.5509802208978392,-0.5509802208978392,-0.5509802208978389,0.11644161628690619,-0.603732134399152,-0.6558372040731105,2.220446049250313e-16
-2.8249999999999997,-0.5480543260730887,-0.5480543260730885,-0.5480543260730882,0.11763186161265565,-0.6012512640071886,-0.6530775658645834,4.440892098500626e-16
-2.8,-0.5450985333221411,-0.5450985333221413,-0.5450985333221423,0.11883344612489921,-0.598741441019185,-0.6502803201882214,1.2212453270876722e-15
-2.7749999999999995,-0.5421125595126325,-0.5421125595126326,-0.5421125595126312,0.12004634091311361,-0.5962022078277346,-0.6474448967298051,1.3322676295501878e-15
-2.7499999999999996,-0.5390961223204693,-0.5390961223204693,-0.5390961223204689,0.12127051018579438,-0.5936330987401516,-0.6445707197143955,4.440892098500626e-16
-2.7249999999999996,-0.5360489404048939,-0.5360489404048935,-0.5360489404048963,0.12250591102668773,-0.5910336398646957,-0.6416572080740214,2.3314683517128287e-15
-2.6999999999999997,-0.5329707335896785,-0.5329707335896784,-0.5329707335896765,0.1237524931483483,-0.5884033489985556,-0.6387037756297491,1.9984014443252818e-15
-2.675,-0.5298612230505124,-0.5298612230505125,-0.5298612230505122,0.12501019864328877,-0.5857417355179293,-0.6357098312886552,2.220446049250313e-16
-2.65,-0.5267201315086343,-0.5267201315086345,-0.5267201315086378,0.12627896173299713,-0.5830483002705745,-0.6326747792562916,3.552713678800501e-15
-2.6249999999999996,-0.5235471834307655,-0.5235471834307653,-0.5235471834307631,0.12755870851512352,-0.5803225354712213,-0.6295980192652418,2.3314683517128287e-15
-2.5999999999999996,-0.5203421052353809,-0.5203421052353809,-0.5203421052353804,0.12884935670915693,-0.5775639246002795,-0.6264789468202093,5.551115123125783e-16
-2.5749999999999997,-0.5171046255053565,-0.5171046255053566,-0.5171046255053603,0.13015081540093737,-0.5747719423063028,-0.6233169534603763,3.774758283725532e-15
-2.55,-0.5138344752070129,-0.513834475207013,-0.5138344752070106,0.13146298478636548,-0.5719460543127071,-0.6201114270395419,2.220446049250313e-15
-2.525,-0.5105313879155687,-0.510531387915569,-0.5105313879155685,0.13278575591470315,-0.5690857173292805,-0.6168617520245341,2.220446049250313e-16
-2.4999999999999996,-0.5071951000470208,-0.507195100047021,-0.5071951000470244,0.13411901043186725,-0.5661903789690601,-0.6135673098126072,3.552713678800501e-15
-2.4749999999999996,-0.5038253510964285,-0.5038253510964287,-0.5038253510964261,0.13546262032416195,-0.5632594776711962,-0.6102274790683107,2.3314683517128287e-15
-2.4499999999999997,-0.500421883882601,-0.500421883882601,-0.5004218838826003,0.13681644766289752,-0.5602924426304673,-0.6068416360803712,6.661338147750939e-16
-2.425,-0.4969844447991495,-0.49698444479914955,-0.4969844447991526,0.13818034435038298,-0.5572886937341598,-0.6034091551392116,3.1086244689504383e-15
-2.4,-0.4935127840718682,-0.49351278407186816,-0.4935127840718656,0.13955415186779824,-0.5542476415070755,-0.5999294089355864,2.609024107869118e-15
-2.3749999999999996,-0.49000665602239096,-0.49000665602239113,-0.4900066560223905,0.14093770102547046,-0.5511686870654858,-0.5964017689808899,4.440892098500626e-16
-2.3499999999999996,-0.48646581933805283,-0.4864658193380529,-0.4864658193380561,0.1423308117161149,-0.5480512220809063,-0.5928256060496535,3.2751579226442118e-15
-2.3249999999999997,-0.4828900373478781,-0.48289003734787805,-0.4828900373478755,0.1437332926716124,-0.5448946287546269,-0.5892002906447007,2.609024107869118e-15
-2.3,-0.47927907830460004,-0.4792790783046001,-0.47927907830459965,0.14514494122392732,-0.5416982798039983,-0.5855251934854735,3.885780586188048e-16
-2.275,-0.47563271567259846,-0.4756327156725984,-0.4756327156726015,0.14656554307079028,-0.5384615384615384,-0.5817996860199407,3.0531133177191805e-15
-2.2499999999999996,-0.47195072842162705,-0.47195072842162694,-0.4719507284216244,0.1479948720467928,-0.5351837584879964,-0.5780231409605242,2.6645352591003757e-15
-2.2249999999999996,-0.4682329013261933,-0.46823290132619333,-0.4682329013261926,0.14943268990056324,-0.5318642842005847,-0.5741949328444875,6.661338147750939e-16
-2.1999999999999997,-0.46447902527042023,-0.4644790252704204,-0.46447902527042306,0.15087874607872148,-0.5285024505176679,-0.5703144386190193,2.831068712794149e-15
-2.175,-0.4606888975582224,-0.4606888975582223,-0.4606888975582198,0.1523327775173174,-0.5250975830212784,-0.5663810382514664,2.609024107869118e-15
-2.15,-0.45686232222859047,-0.4568623222285904,-0.45686232222858986,0.1537945084414946,-0.5216489980389143,-0.5623941153649702,6.106226635438361e-16
-2.1249999999999996,-0.4529991103757756,-0.45299911037577556,-0.45299911037577784,0.15526365017413116,-0.5181560027461652,-0.5583530578996295,2.220446049250313e-15
