kind,M,duration,residual_budget,other
triangle_feasibility,0.00013371376556281514,2.0067081124525368,38.95136234785489,True
triangle_feasibility,0.00013806370642885027,2.0069270948311217,37.72413089617723,True
triangle_feasibility,0.00014255515842097148,2.0071532512426513,36.53556553844865,True
triangle_feasibility,0.00014719272514171562,2.007386818405366,35.38444803110211,True
triangle_feasibility,0.00015198115995680006,2.007628040960675,34.26959851348534,True
triangle_feasibility,0.00015692537086717888,2.0078771717457986,33.18987429853934,True
triangle_feasibility,0.00016203042553959542,2.0081344720762813,32.14416870157865,True
triangle_feasibility,0.00016730155650078744,2.008400212038765,31.131409905973104,True
triangle_feasibility,0.00017274416650066946,2.0086746707944347,30.150559864567978,True
triangle_feasibility,0.00017836383404998726,2.0089581368935563,29.20061323571725,True
triangle_feasibility,0.00018416631913812306,2.009250908601552,28.280596352838714,True
triangle_feasibility,0.0001901575691369113,2.00955329423708,27.389566226435043,True
triangle_feasibility,0.00019634372489651383,2.0098656125226024,26.526609577558286,True
triangle_feasibility,0.00020273112703960642,2.0101881929479513,25.690841901726372,True
triangle_feasibility,0.0002093263224603252,2.0105213761474205,24.881406562332828,True
triangle_feasibility,0.00021613607103463528,2.010865514290947,24.09747391262012,True
triangle_feasibility,0.00022316735254899935,2.011220971489961,23.338240445316814,True
triangle_feasibility,0.00023042737385444768,2.0115881242185116,22.60292796906691,True
triangle_feasibility,0.00023792357625338273,2.011967361750318,21.890782810807227,True
triangle_feasibility,0.00024566364312668897,2.0123590866124075,21.201075043275292,True
triangle_feasibility,0.0002536555078089669,2.01276371505605,20.533097736855904,True
triangle_feasibility,0.0002619073617199599,2.013181677545724,19.886166234999752,True
triangle_feasibility,0.0002704276627605125,2.0136134192668886,19.25961745247109,True
triangle_feasibility,0.00027922514398166396,2.0140594006533767,18.652809195705355,True
triangle_feasibility,0.00028830882253576013,2.0145200979352587,18.065119504580274,True
triangle_feasibility,0.0002976880089187628,2.014996003708078,17.495946014925494,True
triangle_feasibility,0.00030737231651322685,2.015487627524398,16.944705341117498,True
triangle_feasibility,0.00031737167144172643,2.0159954965086486,16.410832478126995,True
triangle_feasibility,0.00032769632274083063,2.016520155996319,15.893780222405837,True
triangle_feasibility,0.0003383568528660565,2.017062170198589,15.393018611019913,True
triangle_feasibility,0.0003493641885385656,2.0176221228935542,14.908034378453179,True
triangle_feasibility,0.00036072961194472293,2.0182006181452534,14.438330430526014,True
triangle_feasibility,0.0003724647722999984,2.0187982810517893,13.98342533488866,True
triangle_feasibility,0.00038458169778905814,2.0194157585238774,13.5428528275677,True
triangle_feasibility,0.0003970928078942915,2.020053720095248,13.116161335059545,True
triangle_feasibility,0.0004100109261254063,2.0207128587664083,12.702913511481176,True
triangle_feasibility,0.0004233492931631363,2.021393891883327,12.302685790303938,True
triangle_feasibility,0.0004371215804305404,2.0220975620527306,11.915067950210592,True
triangle_feasibility,0.0004513419041057974,2.0228246380957566,11.53966269463087,True
triangle_feasibility,0.0004660248395908624,2.023575916041833,11.176085244524497,True
triangle_feasibility,0.00048118543645081274,2.0243522201647535,10.823962943994326,True
triangle_feasibility,0.0004968392338391979,2.0251544040630187,10.48293487832527,True
triangle_feasibility,0.0005130022764252017,2.025983351786653,10.15265150405767,True
triangle_feasibility,0.000529691130838943,2.026839979012822,9.832774290715793,True
triangle_feasibility,0.000546922902651773,2.027725234272717,9.52297537382429,True
triangle_feasibility,0.0005647152539089655,2.028640100232315,9.222937218857096,True
triangle_feasibility,0.0005830864212327811,2.029585595029788,8.932352295774095,True
triangle_feasibility,0.0006020552345144557,2.030562773672493,8.650922763812094,True
triangle_feasibility,0.0006216411362142661,2.0315727294966557,8.378360166207106,True
triangle_feasibility,0.0006418642012894669,2.0326165956930557,8.114385134534848,True
triangle_feasibility,0.0006627451577705137,2.0336955469022224,7.8587271023665535,True
triangle_feasibility,0.0006843054080066687,2.034810800882863,7.611124027946565,True
triangle_feasibility,0.0007065670506027609,2.035963620257496,7.371322125607454,True
triangle_feasibility,0.0007295529030695886,2.0371553143395005,7.139075605647387,True
triangle_feasibility,0.0007532865252111783,2.0383872410460597,6.914146422403102,True
triangle_feasibility,0.0007777922432728708,2.039660808901787,6.696304030260311,True
triangle_feasibility,0.0008030951748749907,2.0409774791381086,6.485325147351382,True
triangle_feasibility,0.0008292212547576429,2.0423387678938276,6.280993526698222,True
triangle_feasibility,0.0008561972613630404,2.043746248522652,6.083099734565634,True
triangle_feasibility,0.0008840508442826003,2.045201554013851,5.891440935798045,True
triangle_feasibility,0.0009128105525969337,2.046706379532621,5.705820685919652,True
triangle_feasibility,0.0009425058641377952,2.0482624850872035,5.526048729784741,True
triangle_feasibility,0.0009731672157019672,2.049871698330258,5.351940806571918,True
triangle_feasibility,0.0010048260342480574,2.0515359175025383,5.183318460922334,True
triangle_feasibility,0.0010375147691081812,2.0532571145274674,5.020008860028346,True
triangle_feasibility,0.0010712669252475459,2.0550373382658234,4.861844616485105,True
triangle_feasibility,0.0011061170976060305,2.0568787179403962,4.708663616723519,True
triangle_feasibility,0.0011421010065569477,2.058783466741198,4.5603088548487625,True
triangle_feasibility,0.0011792555345193515,2.060753885622567,4.416628271713966,True
triangle_feasibility,0.0012176187637614,2.062792367304339,4.277474599064194,True
triangle_feasibility,0.0012572300154335303,2.0649014004901742,4.1427052085909235,True
triangle_feasibility,0.0012981298898714466,2.067083574317083,4.01218196574236,True
triangle_feasibility,0.0013403603082102432,2.069341583051272,3.885771088139665,True
triangle_feasibility,0.0013839645553522936,2.0716782310465853,3.763343008454094,True
triangle_feasibility,0.001428987324332971,2.0740964379830484,3.6447722416043837,True
triangle_feasibility,0.0014754747621296583,2.0765992444044055,3.529937256138338,True
triangle_feasibility,0.0015234745169610045,2.079189817575008,3.4187203496667666,True
triangle_feasibility,0.0015730357871249084,2.0818714576780364,3.31100752822209,True
triangle_feasibility,0.0016242093714252915,2.0846476043787825,3.2066883894179647,True
triangle_feasibility,0.001677047721239328,2.087521843778658,3.105656009290187,True
triangle_feasibility,0.0017316049942785277,2.0904979157876693,3.0078068327028493,True
triangle_feasibility,0.001787937110098751,2.0935797219454106,2.9130405672074606,True
triangle_feasibility,0.001846101807416064,2.0967713337231104,2.821260080246218,True
