epsilon,beta,gamma,L,state_term,dynamic_term,envelope
0.0002511886431509582,0,2,1,0.000002606714269093337336335600514573031576347382124943245486479565826549859,0.0002510624794147073504507208563195232928031804015957015067613991146992623,0.0002536691936838006877870564568340963243795277837206447522478786805258121
0.0002754228703338166,0,2,1,0.000002992962833197997104334505930317482995536705058633214030133708786054071,0.0002752711913771774518229680361870157467855296963029612420846796267309023,0.0002782641542103754489273025421173332297810664013615944561148133355169563
0.0003019951720402016,0,2,1,0.000003436449609764817725506130121706909859632431625498404505972400156681692,0.0003018128180650948121960073151290232470943866674045056498652656794967478,0.0003052492676748596299215134452507301569540190990300040543712380796534295
0.0003311311214825911,0,2,1,0.000003945658296018942677594626856153318109238148982451699822349944653144317,0.000330911889373005562131894525740003211135167293680982061226095619898598,0.0003348575476690245048094891525961565292444054426634337610484455645517424
0.0003630780547701014,0,2,1,0.000004530330424710111839875437535662386150817283675624566008231815151542243,0.000362814487169623557438845465068608645684306763608293045266531072626015,0.0003673448175943336692787209026042710318351240472839176112747628877775573
0.00039810717055349735,0,2,1,0.000005201651961814340837499408467188582623863479564905664560283347466495028,0.0003977903023137025129425226307552044629731124925246656138002741571210803,0.0004029919542755168537800220392223930455969759720895712783605575045875754
0.0004365158322401661,0,2,1,0.00000597246761279276514674680339147040722186292997514901889913409410468999,0.0004361348856280045203083374662874594770972490682245005796992978106886181,0.0004421073532407972854550842696789298843191119981996495985984319047933081
0.00047863009232263805,0,2,1,0.000006857526958971390819952300689863827757892329862263539013616491745553484,0.0004781721106364114013499053442574893985887907707499020682388408200581732,0.0004850296375953827921698576449473532263466831006121656072524573118037267
0.0005248074602497723,0,2,1,0.000007873767160493378254188341141171296221928181707439311202736293956210923,0.0005242568674041762060838376687021977297459647716955791876134950472318008,0.0005321306345646695843380260098433690259678929534030184988162313411880117
0.0005754399373371566,0,2,1,0.000009040637669387194041616639053897509303651778176688138686232451909316172,0.0005747780084675890843948706070227309573206665461407880497202568021708542,0.0005838186461369762784364872460766284666243183243174761884064892540801704
0.000630957344480193,0,2,1,0.00001038047320953804065976923534734200855810766213983238585759887870233069,0.0006301615696003570308694040443578815026833887020202673940417390947511722,0.0006405420428098950715291732797052235112414963641600997798993379734535029
0.0006918309709189362,0,2,1,0.00001191892221583407608844353940739770717357854148982105718343965293447948,0.0006908742900419582558488702386397724952089520679022403942989863052878556,0.0007027932122577923319373137780471702023825306093920614514824259582223351
0.0007585775750291835,0,2,1,0.00001368543900105110561306477793100695401203158120675806632810900007577323,0.0007574274588088986647134402881070612676438240003760656269829909355239976,0.0007711128978099497703265050660380682216558555815828236933110999355997708
0.0008317637711026709,0,2,1,0.00001571384915757491618350185913006240326972302978013381817378349779134063,0.000830381115821800561556737673422499775539917471143068702134662068738287,0.0008460949649793754777402395325525621788096405009232025203084455665296277
0.0009120108393559096,0,2,1,0.00001804299912660195365032137900983824412113682083636095015701675962980459,0.0009103486388056662010559627319868075674798298846106785264568235086738739,0.0009283916379322681547062841109966458116009667054470394766138402683036785
0.001,0,2,1,0.00002071750250862583029371963578616428965737507721607153680293683230338773,0.0009980017492501250000000000000000000000000000000000000000000000000000024,0.00101871925175875083029371963578616428965737507721607153680293683230339
0.0010964781961431851,0,2,1,0.00002378859757890721454869835037666797746721453782283322246357421476169732,0.001094075973139361031109979149555210572587814081437868545274219406282648,0.001117864570718268245658677499931878550055028619260701767737793621044345
0.001202264434617413,0,2,1,0.00002731513264854108506693409391059609069378998322482609757903574885862029,0.00119937659466071334359447107279189470091188798057177831844682369705621,0.00122669172730925442866140516670249079160567796379660441602585944591483
0.0013182567385564075,0,2,1,0.00003136469842003407852262070206388342559617786214682177843138398837343635,0.001314785143652834934235723589517708195424787371962849683188045827524683,0.00134614984207286901275834429158159162102096523410967146161942981589812
0.001445439770745928,0,2,1,0.0000360149293773940836572586640550665449664901566299109907514732647074123,0.00144126646012665057662491314067898850866011958940768667163348252150463,0.001477281389504044660282171804734055053626609746037597662384955786212043
0.001584893192461114,0,2,1,0.00004135499958424319894786645958450100707743161034700557468932619328066595,0.001579876381742649439121453005850479675014895583595617264709786768152877,0.001621231381326892638069319465434980682092327193942622839399112961433543
0.0017378008287493763,0,2,1,0.00004748734210862044713171845114319639828491838362552398185169421788985737,0.001731770102601026454167283666147569685827959649738174245070715070860501,0.001779257444709646901299002117290766084112878033363698226922409288750358
0.0019054607179632482,0,2,1,0.00005452962573039245438996195170610484516126679660677723893393057748483386,0.001898211254026051565671096503600715228951387283193668088252425879855821,0.001952740879756444020061058455306820074112654079800445327186356457340655
0.0020892961308540386,0,2,1,0.00006261702771012616667948289070667747740822556509831223935628160733527236,0.002080581760112944971338976294464331421080835499627923092689239525145424,0.002143198787823071138018459185171008898489061064726235332045521132480696
0.0022908676527677724,0,2,1,0.00007190484731589452813073655285746180645542035270869246099635105293413896,0.002280392522541554450447625589413551707093552843919468374141440940247491,0.00235229736985744897857836214227101351354897319662816083513779199318163
0.0025118864315095794,0,2,1,0.00008257151164387716239730730825868078414523231498666350696742004136303929,0.002499294990405305820106148316211608814666403209233086439827675985426061,0.002581866502049182982503455624470289598811635524219749946795096026789101
0.002754228703338166,0,2,1,0.00009482203317818470823799489542794897008658030619731417210775148486644988,0.00273909367138168813985956651935111716056476763395268233993328000924825,0.0028339157045598728480975614147790661306513479401499965120410314941147
0.003019951720402016,0,2,1,0.0001088919876885709062359367119342262771277261547124365372523410478841578,0.003001759640266321973153907851021473201803376189146098085829018645488199,0.003110651627954892879389844562955699478931102343858534623081359693372357
0.003311311214825911,0,2,1,0.00012505209166478282799051333466823882384836001469243199859506099225949,0.003289445099442562866733796964857383006390295740355471514362582120264979,0.003414497191107345694724310299525621830238655755047903512957643112524469
0.003630780547701014,0,2,1,0.0001436134707715141740894633089914032545231482293519695855054267248417179,0.003604499042939849823210303932435428899227493388268718609062721811391135,0.003748112513711363997299767241426832153750641617620688194568148536232853
0.003981071705534973,0,2,1,0.0001649337250582276691377778033227256993596051433860269824901549882937856,0.003949484070954552393097483864393458756529256289220984880595311125626879,0.004114417796012780062235261667716184455888861432607011863085466113920664
0.004365158322401661,0,2,1,0.0001894239132030033487731857234851831228391805324825090257395815364768515,0.00432719439459190957224455184887965705006062750892634535113609351452323,0.004516618307794912921017737572364840172899808041408854376875675051000081
0.004786300923226385,0,2,1,0.000217556597297625881592288369094466512219079698764490064504193454539843,0.004740675060563745183377836590323366229719262755131942622143075498475308,0.004958231657861371064970124959417832741938342453896432686647268953015151
0.005248074602497728,0,2,1,0.0002498751120515337838858262551067267263015759246411858051657247784074354,0.005193242411955297857400247924339166808245387933533357530565697438621899,0.005443117524006831641286074179445893534546963858174543335731422217029334
0.005754399373371573,0,2,1,0.0002870042483488066308189057317229711223121908275373624819752835441619189,0.005688505783130747838098283240167651153212924836182875683601956183766594,0.005975510031479554468917188971890622275525115663720238165577239727928513
0.006309573444801936,0,2,1,0.0003296625714805565725622091050241783146843087578953228180104785470393139,0.006230390403396856292783555318315364492476923456888717201070012540505633,0.006560052974877412865345764423339542807161232214784040019080491087544947
0.006918309709189363,0,2,1,0.0003786766298629576296523759620966763988604832351280689838744197929106665,0.006823161454017806831804486476269675536425919806458902636210551874738797,0.007201838083880764461456862438366351935286403041586971620084971667649463
0.007585775750291836,0,2,1,0.0004349973515548958901778606326896246427237762861586642365731398644004218,0.007471449185187271875081942470048957442984913155877200953808029504461678,0.0079064465367421677652598031027385820857086894420358651903811693688621
0.008317637711026709,0,2,1,0.0004997189745047273414183303096553764443297652175749450521163495617569398,0.008180274951983908974190471186174640196837267133422968469066972587276321,0.008679993926488636315608801495830016641167032350997913521183322149033261
0.009120108393559097,0,2,1,0.0005741009134973701618293897088062607938784880120032971201621121177207437,0.008955077969249548799523673171155878307548034032299517058826762986866484,0.009529178882746918961353062879962139101426522044302814178988875104587227
0.01,0,2,1,0.0006595930338221708248232275042178808253075660350542516170435616860513971,0.009801742512499999999999999999999999999999999999999999999999999999999997,0.01046133554632217082482322750421788082530756603505425161704356168605139
0.01096478196143185,0,2,1,0.0007578648806468194462790626057205559050341638257922308168744359742719442,0.01072662520281372544825191456024756794429516919920852443004456639573573,0.01148449008346054489453097716596812384932933302500075524691900237000767
0.012022644346174132,0,2,1,0.0008708395062728732660215643047502569692330106017963123149437329027020869,0.01173658190515285675400479473632647047989567694567525421479452826247937,0.01260742141142573002002635904107672744912868754747156652973826116518146
0.013182567385564075,0,2,1,0.001000732647669731464304104288326207835433479636333252302679354260053926,0.01283899363833203660725769991892535055024556628461239858304978761916619,0.01383972628600176807156180420725155838567904592094565088572914187922011
0.01445439770745928,0,2,1,0.001150098137355661706275601776286444009017782603950232131881677655497645,0.01404179073698142540241973828744806606531188694240995340680747228874041,0.01519188887433708710869534006373451007432966954636018553868914994423806
0.01584893192461114,0,2,1,0.001321880585999498851652176345504321000375597067441592713198163341807124,0.01535347431699307384554545875015933343064533627042993479875793744861866,0.01667535490299257269719763509566365443102093333787152751195610079042578
0.017378008287493762,0,2,1,0.001519476560190829850059443704638859550676589288320605588291932196804511,0.01678313387126642664711923981175345291372098991913080528654761391785942,0.01830261043145725649717868351639231246439757920745141087483954611466393
0.019054607179632484,0,2,1,0.001746805700000628090890377913251176287927075810545459934609306057940191,0.01834045955681377400689815147095387450091112117932387191512886868954843,0.02008726525681440209778852938420505078883819698986933184973817474748862
0.02089296130854041,0,2,1,0.002008393486064111875459153839108159053969620608437761677373885653648999,0.02003574742182892120055876415412381526834764881947885771323168194419666,0.02204414090789303307601791799323197432231726942791661939060556759784566
0.022908676527677724,0,2,1,0.002309467684702601667227404288928493058237387876225074082898782976964319,0.02187989545632791434302927325469039880533273199340536888696375567791062,0.02418936314103051601025667754361889186357011986963044296986253865487494
0.025118864315095794,0,2,1,0.002656070884221178464702611593494291387626169403605531400929812952030071,0.02388438792662556255543162815399850731928551324637396456358246302230358,0.02654045881084674102013423974749279870691168264997949596451227597433365
0.02754228703338166,0,2,1,0.00305519200122595702938160139529882207942428580543895183864476836653854,0.0260612649667767263388072994167237863336362557260107130340701127712494,0.02911645696800268336818890081202260841306054153144966487271488113778794
0.03019951720402016,0,2,1,0.003514920201822867945585814454406096615259601898031657157764493399503247,0.02842307384464647104292474647774690643164835941561217551255425308366081,0.03193799404646933898851056093215300304690796131364383267031874648316406
0.03311311214825911,0,2,1,0.004044625373242378444511169435568719786183650346777128975126073490132564,0.03098279769357117649542383553832878744031714541922723426413463521955083,0.03502742306681355493993500497389750722650079576600436323926070870968339
