z,single_deficit,sum_real_deficit,sum_imaginary
4.3125e-07,0.00000000000000002635722257653061178176250455115680288545344859884517877854213018450138,0.00000000000000005271444515306122356352500910231360577090689719769035755708426036900276,0.000000005133928571428571248149964505891644748938550948340093834626510384510358
4.375e-07,0.00000000000000002712673611111111062053790308320473694617138496169843855858318480922003,0.00000000000000005425347222222222124107580616640947389234276992339687711716636961844005,0.000000005208333333333333144953221450617286505686075762629654013723481726805184
4.4375e-07,0.00000000000000002790732178287981807489190232789040272978025087063938858966671406826363,0.00000000000000005581464356575963614978380465578080545956050174127877717933342813652727,0.00000000528273809523809504152580887058858208994590546794976307014128767067193
4.5e-07,0.00000000000000002869897959183673414478993127863390779335954433314347298247690335901242,0.00000000000000005739795918367346828957986255726781558671908866628694596495380671802484,0.000000005357142857142856937864431486880469413844027042303779475475219949049517
4.5624999999999997e-07,0.00000000000000002950170953798185495052005781166866207779505682882762430340020765750058,0.00000000000000005900341907596370990104011562333732415559011365765524860680041531500116,0.00000000543154761904761847682293687771078567767586274693673708048017401946326
4.6249999999999997e-07,0.00000000000000003031551162131518819825421317583618199110554604514547898606361965410173,0.00000000000000006063102324263037639650842635167236398221109209029095797212723930820346,0.000000005505952380952380372683744049868671379854925992245982178207375417786773
4.6874999999999996e-07,0.00000000000000003114038584183672873276928042796205650447978226402100905870020777744562,0.00000000000000006228077168367345746553856085592411300895956452804201811740041555489125,0.000000005580357142857142149253081533952929783653569040386213164205616310667373
4.75e-07,0.00000000000000003197633219954648457911376109952044028136840536447318770885266219425683,0.00000000000000006395266439909296915822752219904088056273681072894637541770532438851367,0.000000005654761904761904520813368336752694348796338417682289793777502853862508
4.812499999999999e-07,0.00000000000000003282335069444443008532319469777286459664942524357359565912295490565329,0.00000000000000006564670138888886017064638939554572919329885048714719131824590981130657,0.000000005729166666666665225456547274581289164429227908181956024451609090544577
4.875e-07,0.00000000000000003368144132653061148860496596199067210339642128924589856955852438420094,0.00000000000000006736288265306122297720993192398134420679284257849179713911704876840189,0.000000005803571428571428310798370687560742970347151502173921451878309974827071
4.937499999999999e-07,0.00000000000000003455060409580497387112061778864923960576340757310490369046901105626597,0.00000000000000006910120819160994774224123557729847921152681514620980738093802211253194,0.00000000587797619047618901493078139200472234856192357867706840710868255571053
5e-07,0.00000000000000003543083900226757285924888978014991313073962470824833287264266517455927,0.00000000000000007086167800453514571849777956029982626147924941649666574528533034911854,0.000000005952380952380952099755246013749420091484535601184481262517594784796461
5.0625e-07,0.00000000000000003632214604591836646740657992285523373296389856537923515333909846817869,0.00000000000000007264429209183673293481315984571046746592779713075847030667819693635738,0.00000000602678571428571399383989784529883911999405412747143125441775359241383
5.125e-07,0.00000000000000003722452522675736869073561941699827650284302150812986550646615140743125,0.00000000000000007444905045351473738147123883399655300568604301625973101293230281486251,0.000000006101190476190475887657632083918229010144219932575969568521550416178755
5.1875e-07,0.00000000000000003813797654478457952919604319823491046087976988358684447353727670596002,0.00000000000000007627595308956915905839208639646982092175953976717368894707455341192005,0.000000006175595238095237781205153450682527674213530556287960934196052452778238
5.25e-07,0.00000000000000003906249999999999898274739583333334657880995008680545207526948716905435,0.00000000000000007812499999999999796549479166666669315761990017361090415053897433810869,0.000000006249999999999999674479166666666673024495442708333267105950249565972643
5.3125e-07,0.00000000000000003999809559240362705134873152017413777960463820134338172159561697336541,0.00000000000000007999619118480725410269746304034827555920927640268676344319123394673082,0.000000006324404761904761567476376452945602973298554697275405363715845021233567
5.374999999999999e-07,0.00000000000000004094476332199544849969784311269573856749079797953622844514054012155945,0.0000000000000000818895266439908969993956862253914771349815959590724568902810802431189,0.000000006398809523809522269717297054403974217534036456825958993863700327121309
5.4375e-07,0.0000000000000000419025031887755090335351169961667068778618188144284654650388409825555,0.00000000000000008380500637755101806707023399233341375572363762885693093007768196511101,0.000000006473214285714285352627204620687568315779573987702475885799772250413414
5.5e-07,0.00000000000000004287131519274376294703582333664130037746334874761864706046088830284707,0.00000000000000008574263038548752589407164667328260075492669749523729412092177660569415,0.000000006547619047619047244774232444300479534152027760617646839608982558686551
5.5625e-07,0.00000000000000004385119933390022547541782583150388016421213077258760778823534607500769,0.00000000000000008770239866780045095083565166300776032842426154517521557647069215001538,0.000000006622023809523809136631275722507927000435139171093444258966256070672427
5.625e-07,0.00000000000000004484215561224489661863772683419670891729013417394088801017979836145862,0.00000000000000008968431122448979323727545366839341783458026834788177602035959672291725,0.000000006696428571428571028195039176384848627015950955406540555095468811435371
5.6875e-07,0.00000000000000004584418402777777637665163832927439126712860585830664775077224717217762,0.00000000000000009168836805555555275330327665854878253425721171661329550154449434435523,0.000000006770833333333332919462227527006182326297742022081214666307843096037696
5.75e-07,0.00000000000000004685728458049886474941518193240387379541050002497531487828569896987997,0.00000000000000009371456916099772949883036386480774759082100004995062975657139793975993,0.000000006845238095238094810429545495446866010700209880791010558275928852049689
5.812499999999999e-07,0.0000000000000000478814572704081452615433528359451453788763523962841208216794438494534,0.0000000000000000957629145408162905230867056718902907577527047925682416433588876989068,0.000000006919642857142855510617507326591589409122845491037143856508821689861067
5.875e-07,0.00000000000000004891670209750566733901120008104773547030967711963820534406822764765438,0.00000000000000009783340419501133467802240016209547094061935423927641068813645529530875,0.00000000699404761904761859145138917008603498462915359216641968561282304589681
5.937499999999999e-07,0.00000000000000004996301906179136472610393993636275024793298453102428531064121635570642,0.00000000000000009992603812358272945220787987272550049586596906204857062128243271141284,0.000000007068452380952379291023133842244157827740958336577157623286532393865271
6e-07,0.00000000000000005102040816326530438706094682771070562057948266075801855278458200224477,0.0000000000000001020408163265306087741218936554214112411589653215160371055691640044895,0.000000007142857142857142371234207968901858848495666488169443220059884884916672
6.0625e-07,0.00000000000000005208886940192743583288981229503535606030605495815848473135912390998363,0.0000000000000001041777388038548716657796245900707121206121099163169694627182478199673,0.000000007217261904761904260652744842563361145384402015498378477590715453001881
6.125e-07,0.00000000000000005316840277777777589319174181777266714499911017723844524983293364639926,0.0000000000000001063368055555555517863834836355453342899982203544768904996658672927985,0.000000007291666666666666149751639660493840902267006035531140899713695433872743
6.1875e-07,0.00000000000000005425900829081632456791892442937597911517386470510508320821148071106715,0.0000000000000001085180165816326491358378488587519582303477294102101664164229614221343,0.00000000736607142857142803852759714376823603168321427523256765121520629948855
6.249999999999999e-07,0.00000000000000005536068594104306414160355766062685097398247744057496241856743612751443,0.0000000000000001107213718820861282832071153212537019479649548811499248371348722550289,0.00000000744047619047618873650113153727127187802845498475140279489046470040123
6.3125e-07,0.00000000000000005647343572845804776045535320855567643039262100802318381031850369621873,0.0000000000000001129468714569160955209107064171113528607852420160463676206370073924375,0.00000000751488095238095181509751899064852405836495891221508644934165541600668
6.374999999999999e-07,0.00000000000000005759725765306120420843863444214067190141563058299944689101385600558811,0.0000000000000001151945153061224084168772688842813438028312611659988937820277120111762,0.000000007589285714285712512408702320214090862979386932334153856230106166897562
6.4375e-07,0.00000000000000005873215171485260541010680352244800895557481601432155688722039664525862,0.0000000000000001174643034297052108202136070448960179111496320286431137744407932905172,0.000000007663690476190475590336148151803728526108366109645145785324267188389136
6.499999999999999e-07,0.00000000000000005987811791383217873218964298997796342242250356898539625905739329986475,0.0000000000000001197562358276643574643792859799559268448450071379707925181147865997295,0.000000007738095238095236286971799301731578150339384792539377307073251255870971
6.5625e-07,0.00000000000000006103515624999999751647313435872400886081676516267926737826756935748244,0.0000000000000001220703124999999950329462687174480177216335303253585347565351387149649,0.00000000781249999999999936421712239583335273588697115580209305739521773325386
