case,method,kind,tau,lA,lC,phi,v,hp,hl,E,B,I_wrong
coupled_mixed,DOP853,full,0.30000000000000004,0.022771113641626147,0.02228277976651915,0.1550432877846277,0.013658261812515601,0.0758603928919327,0.07269084838317402,0.07609217606785193,0.05732875526561681,
coupled_mixed,DOP853,full,0.325,0.024667517996643514,0.024096920500208844,0.1553782630173318,0.013140038366699969,0.07585190824473467,0.07244091719630318,0.07578126980870141,0.057111730090962286,
coupled_mixed,DOP853,full,0.35000000000000003,0.02656370668707779,0.025904850809124604,0.1557003038902202,0.012623517385442672,0.0758431395829031,0.07219400795965816,0.07547254500464758,0.05689555103296074,
coupled_mixed,DOP853,full,0.375,0.02845967260183886,0.027706645760771018,0.1560094532909758,0.012108724922391723,0.0758340860467904,0.07195008224731013,0.07516598349750454,0.05668021550887575,
coupled_mixed,DOP853,full,0.4,0.03035540860822652,0.02950237946753393,0.1563057547562234,0.011595686838881698,0.0758247467675508,0.07170910207476891,0.07486156726294858,0.05646572094012414,
coupled_mixed,DOP853,full,0.42500000000000004,0.03225090755172458,0.031292125097653285,0.15658925246669317,0.01108442880162025,0.07581512086906773,0.0714710298940894,0.07455927840980407,0.056252064752313514,
coupled_mixed,DOP853,full,0.45,0.03414616225584244,0.0330759548860787,0.15685999124232655,0.010574976280418898,0.07580520746984665,0.07123582858907526,0.07425909917932295,0.05603924437527401,
coupled_mixed,DOP853,full,0.47500000000000003,0.036041165522004,0.034853940145204404,0.15711801653732588,0.010067354545967237,0.07579500568487318,0.07100346147057764,0.07396101194445794,0.05582725724308425,
coupled_mixed,DOP853,full,0.5,0.03793591012948272,0.03662615127548667,0.15736337443514903,0.00956158866765091,0.07578451462743688,0.07077389227188657,0.0736649992091298,0.055616100794091815,
coupled_mixed,DOP853,full,0.525,0.03983038883538197,0.03839265777594647,0.15759611164344975,0.009057703511413651,0.07577373341092007,0.07054708514421217,0.07337104360748929,0.055405772470928476,
coupled_mixed,DOP853,full,0.55,0.04172459437465968,0.040153528254560415,0.15781627548896546,0.008555723737663778,0.07576266115055234,0.0703230046522529,0.0730791279031739,0.05519626972052045,
coupled_mixed,DOP853,full,0.5750000000000001,0.0436185194601961,0.04190883043854284,0.15802391391235296,0.008055673799225439,0.07575129696513018,0.07010161576984837,0.07278923498855999,0.054987589994093936,
coupled_mixed,DOP853,full,0.6000000000000001,0.04551215678290384,0.043658631184521964,0.15821907546297395,0.007557577939334934,0.07573963997870194,0.06988288387571366,0.0725013478840106,0.05477973074717622,
