time,coupling,energy,integrated_work,work_defect,norm,last_character_probability
0.8250000000000001,3.6427977506746285,3.3143870017184143,3.3143870017183508,6.350475700855895e-14,1.000000000000006,3.496283539595034e-25
0.8300000000000001,3.6806347501731365,3.341955505074292,3.3419555050742265,6.572520305780927e-14,1.0000000000000064,9.061178940042593e-25
0.835,3.7185531343350164,3.36937659103945,3.369376591039385,6.52811138479592e-14,1.0000000000000064,1.4901855430719218e-26
0.84,3.756550564175725,3.396645671304129,3.3966456713040625,6.661338147750939e-14,1.0000000000000062,8.202167609635255e-24
0.845,3.794624695834807,3.4237582160211346,3.423758216021071,6.350475700855895e-14,1.0000000000000062,2.8791140986413654e-24
0.85,3.8327731807204724,3.450709757009877,3.4507097570098106,6.616929226765933e-14,1.0000000000000064,1.1443399543292385e-23
0.855,3.8709936656544808,3.4774958909877625,3.477495890987702,6.039613253960852e-14,1.0000000000000058,4.212460626649557e-23
0.86,3.9092837930172863,3.504112282826549,3.504112282826484,6.483702463810914e-14,1.000000000000006,8.504514269326571e-25
0.865,3.947641200893472,3.5305546688309146,3.53055466883085,6.483702463810914e-14,1.0000000000000064,7.988675753459854e-25
0.87,3.9860635232174375,3.556818860036622,3.556818860036557,6.52811138479592e-14,1.000000000000006,8.633441532253727e-25
0.875,4.024548389919358,3.5829007455252517,3.582900745525188,6.394884621840902e-14,1.0000000000000058,4.337869454726264e-26
0.88,4.063093427071377,3.608796295752512,3.6087962957524464,6.572520305780927e-14,1.0000000000000062,3.9199745219512394e-24
0.885,4.101696257034036,3.634501565886888,3.6345015658868234,6.483702463810914e-14,1.000000000000006,2.6348225506702245e-26
0.89,4.140354498602952,3.6600126991553137,3.6600126991552475,6.616929226765933e-14,1.0000000000000062,2.4273803715215992e-24
0.895,4.179065767155685,3.685325930192309,3.685325930192245,6.394884621840902e-14,1.0000000000000062,1.728372011018427e-26
0.9,4.217827674798845,3.7104375883889933,3.710437588388924,6.927791673660977e-14,1.0000000000000064,9.977334667867893e-24
0.905,4.256637830515385,3.7353441012380664,3.7353441012380038,6.261657858885883e-14,1.000000000000006,1.1453085321768812e-24
0.91,4.295493840312087,3.7600419976709647,3.760041997670896,6.88338275267597e-14,1.0000000000000064,1.794745509410775e-23
0.915,4.334393307367238,3.784527911382825,3.7845279113827694,5.551115123125783e-14,1.0000000000000053,4.5324872645780227e-23
0.92,4.373333832178479,3.8087985841413436,3.8087985841412784,6.52811138479592e-14,1.0000000000000064,1.0374757358767564e-24
0.925,4.412313012710811,3.832850869074682,3.8328508690746186,6.350475700855895e-14,1.0000000000000062,2.4472668245844785e-25
0.93,4.4513284445447745,3.8566817339343347,3.8566817339342694,6.52811138479592e-14,1.000000000000006,7.973974690347096e-25
0.935,4.490377721024751,3.8802882643278456,3.8802882643277825,6.306066779870889e-14,1.000000000000006,8.530718899065802e-26
0.9400000000000001,4.529458433407428,3.9036676669168013,3.903667666916736,6.52811138479592e-14,1.0000000000000062,1.5814363211174785e-24
0.9450000000000001,4.568568171010384,3.9268172725749393,3.9268172725748753,6.394884621840902e-14,1.0000000000000062,4.5896781840256856e-26
0.9500000000000001,4.607704521360775,3.949734539501379,3.9497345395013137,6.52811138479592e-14,1.0000000000000064,3.969447233462606e-25
0.9550000000000001,4.646865070344167,3.9724170562836045,3.97241705628354,6.439293542825908e-14,1.0000000000000062,6.923854850392617e-26
0.96,4.686047402353433,3.9948625449049144,3.9948625449048434,7.105427357601002e-14,1.000000000000007,7.35165621630531e-24
0.965,4.725249100437771,4.017068863690717,4.017068863690653,6.394884621840902e-14,1.0000000000000062,8.063682753045658e-26
0.97,4.764467746451786,4.039034010188242,4.039034010188167,7.549516567451064e-14,1.0000000000000073,3.9600951482213794e-23
0.975,4.803700921204657,4.060756123973595,4.060756123973535,6.039613253960852e-14,1.000000000000006,2.337472143718012e-24
0.98,4.842946204609358,4.082233489380831,4.082233489380765,6.661338147750939e-14,1.0000000000000067,1.1660476312888675e-24
0.985,4.882201175831948,4.103464538146474,4.10346453814641,6.394884621840902e-14,1.0000000000000062,1.3986854478985445e-25
0.99,4.921463413440897,4.12444785196409,4.124447851964026,6.394884621840902e-14,1.0000000000000064,6.445514454229957e-26
0.995,4.960730495556444,4.145182164942365,4.1451821649423,6.483702463810914e-14,1.0000000000000067,8.016998834084663e-26
1.0,4.999999999999999,4.165666365960728,4.16566636596067,5.861977570020827e-14,1.000000000000006,1.560725468767665e-24
1.0050000000000001,5.039269504443558,4.185899500916298,4.185899500916233,6.483702463810914e-14,1.0000000000000064,6.106493156710965e-26
1.01,5.078536586559102,4.205880774855701,4.205880774855646,5.5067062021407764e-14,1.0000000000000058,1.9057658629534333e-24
1.0150000000000001,5.117798824168051,4.225609553985785,4.225609553985719,6.572520305780927e-14,1.0000000000000064,1.8331513840327003e-25
1.02,5.157053795390642,4.245085367556415,4.245085367556369,4.618527782440651e-14,1.0000000000000049,6.658038569557325e-24
1.025,5.196299078795342,4.264307909609639,4.264307909609574,6.483702463810914e-14,1.0000000000000067,6.703042987412184e-26
1.03,5.235532253548213,4.283277040588059,4.2832770405880085,5.062616992290714e-14,1.0000000000000049,3.554263812897669e-24
1.035,5.274750899562228,4.30199278879705,4.301992788796987,6.306066779870889e-14,1.0000000000000064,4.493322906247809e-26
1.04,5.313952597646567,4.320455351713532,4.320455351713476,5.595524044110789e-14,1.0000000000000053,1.3578359454886388e-24
1.045,5.353134929655832,4.338665097135922,4.338665097135858,6.394884621840902e-14,1.0000000000000064,3.291866077493893e-26
1.05,5.392295478639224,4.356622564168363,4.356622564168312,5.1514348342607263e-14,1.000000000000005,1.275944272287169e-24
1.055,5.431431828989616,4.374328464033706,4.374328464033639,6.661338147750939e-14,1.0000000000000064,6.721518244485774e-26
1.06,5.470541566592572,4.391783680708615,4.3917836807085715,4.3520742565306136e-14,1.0000000000000044,2.9135773610642376e-24
1.065,5.509622278975249,4.408989271375662,4.4089892713755985,6.394884621840902e-14,1.0000000000000062,5.587700577179948e-26
1.07,5.5486715554552255,4.425946466685639,4.425946466685574,6.483702463810914e-14,1.0000000000000064,1.1441828004810204e-24
1.075,5.587686987289188,4.442656670825501,4.4426566708254365,6.483702463810914e-14,1.0000000000000062,1.333435101377871e-25
