beta,j,n,multiplicity_full,multiplicity_class,ratio,dimensionless_energy,log10_beta
14.12537544622754,1.0,3,9,1,0.7463190129629254,0.2926021388689954,1.15
14.12537544622754,1.5,4,16,1,0.5788227569473651,0.5467589675350983,1.15
14.12537544622754,2.0,5,25,1,0.4184989084137321,0.871080997386398,1.15
16.155980984398745,0.5,2,4,1,0.9086888662934117,0.09575252470165213,1.2083333333333335
16.155980984398745,1.0,3,9,1,0.7750210607029309,0.25486507489747046,1.2083333333333335
16.155980984398745,1.5,4,16,1,0.6208619389958341,0.47664654222310876,1.2083333333333335
16.155980984398745,2.0,5,25,1,0.4675872059117532,0.7601694109395717,1.2083333333333335
18.478497974222908,0.5,2,4,1,0.9199869143492057,0.08339583257367858,1.2666666666666666
18.478497974222908,1.0,3,9,1,0.8008524468530793,0.22207856005242804,1.2666666666666666
18.478497974222908,1.5,4,16,1,0.6599487506509709,0.41559309750545614,1.2666666666666666
18.478497974222908,2.0,5,25,1,0.5151371245053062,0.6633221525842647,1.2666666666666666
21.134890398366476,0.5,2,4,1,0.9299092444706037,0.07266828418746524,1.3250000000000002
21.134890398366476,1.0,3,9,1,0.8240049081035259,0.193578792654087,1.3250000000000002
21.134890398366476,1.5,4,16,1,0.6959818686748304,0.3624316697415983,1.3250000000000002
21.134890398366476,2.0,5,25,1,0.5605611502012382,0.5788169430430601,1.3250000000000002
24.173154808041037,0.5,2,4,1,0.9386175442239697,0.06334718388944789,1.3833333333333333
24.173154808041037,1.0,3,9,1,0.8446843117205795,0.16879231702613187,1.3833333333333333
24.173154808041037,1.5,4,16,1,0.7289591065657788,0.31613764379272136,1.3833333333333333
24.173154808041037,2.0,5,25,1,0.6034384793567226,0.5051111833976416,1.3833333333333333
27.648187540101087,0.5,2,4,1,0.9462561046467588,0.05524202284123984,1.4416666666666669
27.648187540101087,1.0,3,9,1,0.86310045050522,0.14722419779487245,1.4416666666666669
27.648187540101087,1.5,4,16,1,0.7589525898857911,0.27581596745604775,1.4416666666666669
27.648187540101087,2.0,5,25,1,0.6434976027496476,0.44083697728366766,1.4416666666666669
31.622776601683793,0.5,2,4,1,0.9529532145414159,0.04818946935420646,1.5
31.622776601683793,1.0,3,9,1,0.8794598935388016,0.12844731727829595,1.5
31.622776601683793,1.5,4,16,1,0.786087432080307,0.2406872559958852,1.5
31.622776601683793,2.0,5,25,1,0.680593755506267,0.3847896919408676,1.5
36.16873614408161,0.5,2,4,1,0.9588226047609786,0.04204920060368002,1.5583333333333336
36.16873614408161,1.0,3,9,1,0.893961171223521,0.11209293738772966,1.5583333333333336
36.16873614408161,1.5,4,16,1,0.8105241680676409,0.21007411953704444,1.5583333333333336
36.16873614408161,2.0,5,25,1,0.7146849775873729,0.33591342416365977,1.5583333333333336
41.36820402388507,0.5,2,4,1,0.9639648682544918,0.03670042875508677,1.6166666666666667
41.36820402388507,1.0,3,9,1,0.9067917120406852,0.09784250017804204,1.6166666666666667
41.36820402388507,1.5,4,16,1,0.8324447696516435,0.18338840208910506,1.6166666666666667
41.36820402388507,2.0,5,25,1,0.7458091817532193,0.2932855000324016,1.6166666666666667
47.315125896148075,0.5,2,4,1,0.968468812915711,0.03203899808287602,1.6750000000000003
47.315125896148075,1.0,3,9,1,0.9181260711391613,0.08542056539527616,1.6750000000000003
47.315125896148075,1.5,4,16,1,0.8520418496032571,0.1601196341064831,1.6750000000000003
47.315125896148075,2.0,5,25,1,0.7740635822896712,0.2561012611052704,1.6750000000000003
54.116952654646376,0.5,2,4,1,0.9724127239919257,0.027974951483937995,1.7333333333333334
54.116952654646376,1.0,3,9,1,0.9281250937984264,0.07458875592880007,1.7333333333333334
54.116952654646376,1.5,4,16,1,0.8695105779984473,0.13982477965116455,1.7333333333333334
54.116952654646376,2.0,5,25,1,0.7995870981655491,0.2236598118468124,1.7333333333333334
61.89658188912603,0.5,2,4,1,0.9758655252764473,0.024430483540834387,1.7916666666666665
61.89658188912603,1.0,3,9,1,0.936935740521214,0.06514057911548107,1.7916666666666665
61.89658188912603,1.5,4,16,1,0.8850428292316614,0.12211924053314216,1.7916666666666665
61.89658188912603,2.0,5,25,1,0.8225458595656523,0.19535104158611197,1.7916666666666665
70.79457843841381,0.5,2,4,1,0.9788878361452086,0.021338212836283066,1.85
70.79457843841381,1.0,3,9,1,0.9446913671788145,0.05689700041031904,1.85
70.79457843841381,1.5,4,16,1,0.8988231146919443,0.10666902172088963,1.85
70.79457843841381,2.0,5,25,1,0.8431216555406438,0.17064401876999313,1.85
80.97171416105617,0.5,2,4,1,0.9815329263379672,0.01863971887164237,1.9083333333333332
80.97171416105617,1.0,3,9,1,0.9515123059202795,0.04970265915008125,1.9083333333333332
80.97171416105617,1.5,4,16,1,0.911025911701151,0.0931839389860065,1.9083333333333332
80.97171416105617,2.0,5,25,1,0.8615030061404495,0.14907673359429824,1.9083333333333332
92.61187281287937,0.5,2,4,1,0.9838475732696149,0.0162842991427414,1.9666666666666668
92.61187281287937,1.0,3,9,1,0.957506633074683,0.043422630458189476,1.9666666666666668
92.61187281287937,1.5,4,16,1,0.9218140604601303,0.08141174554656731,1.9666666666666668
92.61187281287937,2.0,5,25,1,0.8778784789331392,0.1302471016081829,1.9666666666666668
105.92537251772897,0.5,2,4,1,0.9858728282632736,0.014227910118419411,2.0250000000000004
105.92537251772897,1.0,3,9,1,0.9627710413537317,0.0379396510559573,2.0250000000000004
105.92537251772897,1.5,4,16,1,0.9313379598854868,0.07113306018051717,2.0250000000000004
105.92537251772897,2.0,5,25,1,0.8924318629115049,0.11380511231944548,2.0250000000000004
121.15276586285876,0.5,2,4,1,0.9876446988690241,0.01243226244112773,2.083333333333333
121.15276586285876,1.0,3,9,1,0.9673917572798296,0.03315173911763564,2.083333333333333
121.15276586285876,1.5,4,16,1,0.9397353465538708,0.06215698957895144,2.083333333333333
121.15276586285876,2.0,5,25,1,0.9053388382326408,0.09944599846808352,2.083333333333333
138.56918628031272,0.5,2,4,1,0.9891947546657369,0.01086404595130342,2.1416666666666666
138.56918628031272,1.0,3,9,1,0.9714454625528454,0.02897014910237376,2.1416666666666666
138.56918628031272,1.5,4,16,1,0.9471314869813457,0.05431734962501083,2.1416666666666666
138.56918628031272,2.0,5,25,1,0.9167648217895873,0.08690430440619001,2.1416666666666666
158.48931924611142,0.5,2,4,1,0.9905506638360552,0.009494264392872317,2.2
158.48931924611142,1.0,3,9,1,0.9750001913429163,0.025317611735164242,2.2
158.48931924611142,1.5,4,16,1,0.9536396519402108,0.047469402222390024,2.2
158.48931924611142,2.0,5,25,1,0.9268637159525793,0.07594874045661226,2.2
