scenario,t,a,x,F,phi,y,f,f_phi,S,C,D,Z,Wtilde,Wpump,Wdefect,energy_mismatch,defect_residual,max_r2_error
correct,0.8,-0.0001232972419972477,0.0012639510869642437,0.010297793486206533,0.3201382124890116,-0.2861632505714496,1.0010248847509566,0.006402764249780233,0.00011806972165556001,0.09245307083706303,-1.5020302699815763e-07,0.9983555082860517,0.1050007981003232,7.981003227781153e-07,0.0,-2.9538431738833446e-16,-2.9538431738833446e-16,8.881784197001252e-16
correct,0.8500000000000001,-0.00020068442016862894,0.0018586387962315595,0.013547554141411604,0.30533741526642255,-0.3057144552854176,1.0009323093716158,0.006106748305328452,0.00018063211843206468,0.09245307086760621,-2.4447737937435907e-07,0.99826293290391,0.105001725846908,1.72584690714137e-06,0.0,1.470163322813767e-16,1.470163322813767e-16,8.881784197001252e-16
correct,0.9,-0.0003120587095319714,0.002627115237216776,0.017238799402019542,0.2895826871066623,-0.32431055072679704,1.000838581326719,0.005791653742133247,0.0002636811532705087,0.0924530709371742,-3.801549501464025e-07,0.9981692048526338,0.1050034481673459,3.448167345337035e-06,0.0,-1.545394671606526e-16,-1.545394671606526e-16,8.881784197001252e-16
correct,0.9500000000000001,-0.0004666433577281813,0.003590351117164004,0.021326019970199166,0.272923248739291,-0.34189343898636604,1.0007448709970241,0.005458464974785821,0.0003699926023097459,0.09245307108381717,-5.684705791970205e-07,0.9980754945094915,0.10500644057460097,6.440574600036342e-06,0.0,2.16371178244322e-16,2.16371178244322e-16,1.1102230246251565e-15
correct,1.0,-0.0006746486066226192,0.004766775496882975,0.025754163782083127,0.2554111473915105,-0.358408187510649,1.0006523485421184,0.005108222947830211,0.0005020977784026886,0.0924530713730134,-8.218597241683797e-07,0.9979829720280661,0.10501135335530894,1.1353355308600348e-05,0.0,-3.813325387879915e-16,-3.813325387879915e-16,8.881784197001252e-16
correct,1.05,-0.0009471339633310719,0.00617187628144529,0.03046180594363875,0.23710109418762396,-0.37380320072051215,1.0005621692886497,0.00474202188375248,0.0006623315247715589,0.09245307191134912,-1.153788496393809e-06,0.9978927927252313,0.10501903431946916,1.903431946828858e-05,0.0,1.5034157187406028e-16,1.5034157187406028e-16,8.881784197001252e-16
correct,1.1,-0.001295854261764068,0.007817947505844653,0.03538385584194374,0.2180502932256343,-0.38803038122128153,1.000475459303758,0.0043610058645126865,0.0008529023216630079,0.09245307286417676,-1.5785619024935734e-06,0.9978060826529641,0.10503054367860688,3.054367860618626e-05,0.0,-2.1013193355484683e-17,-2.1013193355484683e-17,8.881784197001252e-16
correct,1.1500000000000001,-0.0017330962635572697,0.009713959605411215,0.04045377669535045,0.198318262863998,-0.401045280106075,1.000393301333854,0.003966365257279961,0.0010759493472030676,0.09245307447746362,-2.111117129624651e-06,0.9977239245351197,0.10504715926482308,4.7159264822161243e-05,0.0,2.021901526413905e-16,2.021901526413905e-16,8.881784197001252e-16
correct,1.2000000000000002,-0.002271511353710352,0.011865529152436587,0.04560534322950108,0.17796664977564716,-0.4128072358869573,1.0003167212843236,0.003559332995512944,0.001333555759730834,0.09245307710382189,-2.7668066597796227e-06,0.9976473442447491,0.10507037102558543,7.037102558475821e-05,0.0,-4.367979502400976e-17,-4.367979502400976e-17,8.881784197001252e-16
correct,1.25,-0.002923948757838312,0.014274966643170501,0.05077398885814304,0.15705903634882176,-0.4232795016223118,1.0002466754089883,0.003141180726976436,0.001627698915012435,0.09245308123245731,-3.5611739281021066e-06,0.9975772979908127,0.10510186445132542,0.00010186445132440683,0.0,3.000665037625194e-16,3.000665037625194e-16,8.881784197001252e-16
