time_s,numerical_x_m,analytic_x_m,absolute_error_m
8.3,-0.030160115398090326,-0.030160115459135255,6.10449295279647e-11
8.32,-0.047668335350720334,-0.047668335423138,7.241766908361313e-11
8.34,-0.0647471292352059,-0.0647471293187278,8.352189773130902e-11
8.36,-0.08129072415920552,-0.08129072425514186,9.593634220372849e-11
8.38,-0.09719751721606103,-0.09719751732340107,1.073400396345292e-10
8.4,-0.11237069314064047,-0.11237069325807078,1.1743031547162275e-10
8.42,-0.12671880702590393,-0.12671880715325293,1.2734899246247267e-10
8.44,-0.1401563286306196,-0.14015632876946002,1.3884041139000658e-10
8.46,-0.15260414508650152,-0.15260414523777058,1.5126905283935344e-10
8.48,-0.16399001909502747,-0.163990019255651,1.6062351448908885e-10
8.5,-0.17424900000644222,-0.17424900017341624,1.6697401794552036e-10
8.52,-0.1833237855170008,-0.18332378568916793,1.7216714165435576e-10
8.540000000000001,-0.19116503202458918,-0.19116503220126413,1.7667495244566567e-10
8.56,-0.19773161202827766,-0.19773161220858299,1.803053262250387e-10
8.58,-0.2029908173152357,-0.20299081749790565,1.826699624896122e-10
8.6,-0.20691850702887182,-0.20691850721229949,1.8342766194834326e-10
8.620000000000001,-0.20949920006925352,-0.20949920025221155,1.8295803760892682e-10
8.64,-0.2107261116384493,-0.2107261118197041,1.8125481671127375e-10
8.66,-0.2106011340952652,-0.21060113427364127,1.7837606391957195e-10
8.68,-0.2091347626429697,-0.20913476281736565,1.7439594213186638e-10
8.700000000000001,-0.20634596671864008,-0.20634596688828524,1.6964515903161725e-10
8.72,-0.20226200829549323,-0.2022620084586279,1.6313467243733726e-10
8.74,-0.1969182086300233,-0.19691820878630542,1.5628212612917025e-10
8.76,-0.190357665323461,-0.19035766547235947,1.4889847688159819e-10
8.78,-0.18263092184499083,-0.18263092198486125,1.3987042080110257e-10
8.8,-0.1737955919665829,-0.17379559209660367,1.3002077192680872e-10
8.82,-0.16391594183321773,-0.16391594195373593,1.205182065255883e-10
8.84,-0.1530624326302204,-0.15306243274302367,1.128032667274681e-10
8.86,-0.14131122705042845,-0.14131122715528413,1.0485567969453768e-10
8.88,-0.12874366295844047,-0.12874366305032656,9.188608207644222e-11
8.9,-0.11544569783888231,-0.115445697913368,7.448569538937022e-11
8.92,-0.10150732779505224,-0.10150732785327336,5.822112236764099e-11
8.94,-0.08702198498402382,-0.0870219850283649,4.4341086358201665e-11
8.96,-0.07208591746484766,-0.07208591749511623,3.0268565431867955e-11
8.98,-0.0567975555425439,-0.0567975555584694,1.5925503971114807e-11
9.0,-0.04125686875645307,-0.04125686875920831,2.755240480212251e-12
9.02,-0.02556471767375582,-0.02556471766391869,9.837127640244248e-12
9.040000000000001,-0.009822204652776785,-0.00982220462623476,2.6542025521880674e-11
9.06,0.005869972295200331,0.00586997233523239,4.003205839736568e-11
9.08,0.02141215839382098,0.021412158446533047,5.271206734991374e-11
9.1,0.0367063697889467,0.036706369855134986,6.618828402027432e-11
9.120000000000001,0.0516569060738224,0.05165690615383615,8.001374562915942e-11
9.14,0.0661709438646992,0.06617094395653453,9.183533100642904e-11
9.16,0.08015910777567171,0.08015910787859008,1.029183682721424e-10
9.18,0.09353601533024111,0.09353601544464585,1.1440473568491427e-10
9.200000000000001,0.1062207925130863,0.10622079263794332,1.2485701361697465e-10
9.22,0.11813755688238228,0.11813755701583453,1.3345224925132015e-10
9.24,0.1292158654048879,0.12921586554498288,1.4009499116340862e-10
9.26,0.13939112440866802,0.13939112455503155,1.4636353240504718e-10
9.28,0.1486049593162187,0.14860495946961877,1.534000704239702e-10
9.3,0.1568055420864459,0.1568055422467814,1.6033549488092547e-10
9.32,0.16394787457922758,0.16394787474516181,1.6593423857180767e-10
9.34,0.16999402635627733,0.16999402652615694,1.6987961037884247e-10
9.36,0.1749133257307715,0.17491332590321823,1.72446723567532e-10
