time_s,numerical_mode_amplitude,analytic_mode_amplitude,max_absolute_error
0.34,0.7645869016009693,0.7645611730764569,2.572368678943615e-05
0.35000000000000003,0.7585744864515552,0.75854820948848,2.62720222296009e-05
0.36,0.7526093506053769,0.7525825354207973,2.6810142532363024e-05
0.37,0.7466911222762656,0.7466637789605082,2.733817440581099e-05
0.38,0.7408194326016423,0.7407915711196559,2.7856243204116282e-05
0.39,0.7349939156195507,0.7349655458122247,2.836447296361566e-05
0.4,0.729214208245926,0.7291853398313168,2.8862986493627396e-05
0.41000000000000003,0.7234799502516929,0.7234505928265095,2.9351905119767707e-05
0.42,0.7177907842405316,0.7177609472813896,2.983134891176853e-05
0.43,0.7121463556265445,0.712116048491266,3.0301436641178014e-05
0.44,0.7065463126122606,0.7065155445410559,3.0762285898155994e-05
0.45,0.7009903061664154,0.700959086283346,3.121401280892222e-05
0.46,0.6954779900025764,0.6954463273166259,3.1656732430218604e-05
0.47000000000000003,0.6900090205572539,0.6899769239636924,3.20905584535458e-05
0.48,0.6845830569685988,0.6845505352502244,3.251560333039638e-05
0.49,0.6791997610553686,0.6791668228835253,3.293197849385532e-05
0.5,0.6738587972953259,0.6738254512314336,3.33397938467872e-05
0.51,0.6685598328049788,0.6685260873013984,3.373915842797004e-05
0.52,0.6633025373181473,0.6632684007197206,3.4130179736968635e-05
0.53,0.6580865831661287,0.6580520637109558,3.451296449519248e-05
0.54,0.6529116452565895,0.6528767510774808,3.488761797154627e-05
0.55,0.6477774010537531,0.6477421401792199,3.525424444628111e-05
0.56,0.6426835305579444,0.6426479109135306,3.561294686738048e-05
0.5700000000000001,0.6376297162860891,0.6375937456952478,3.596382730719494e-05
0.58,0.6326156432515504,0.6325793294368853,3.630698659451426e-05
0.59,0.6276409989445922,0.6276043495289919,3.664252442681093e-05
0.6,0.62270547331299,0.622668495820663,3.69705394658304e-05
0.61,0.6178087587426685,0.617771460600205,3.729112931027956e-05
0.62,0.6129505500384719,0.6129129385759525,3.760439045297215e-05
0.63,0.6081305444051577,0.6080926268572346,3.791041830381037e-05
0.64,0.6033484414286151,0.6033102249354932,3.820930729259153e-05
0.65,0.5986039430569792,0.5985654346655477,3.8501150716241384e-05
0.66,0.5938967535822658,0.5938579602470089,3.878604096374527e-05
0.67,0.5892265796217517,0.5891875082058373,3.9064069333627494e-05
0.68,0.5845931300997596,0.5845537873760479,3.9335326116662905e-05
0.6900000000000001,0.579996116229604,0.5799565088815584,3.959990069357655e-05
0.7000000000000001,0.575435251495256,0.575395386118179,3.9857881207860935e-05
0.71,0.5709102516340959,0.5708701347357465,4.010935518672376e-05
0.72,0.5664208346186385,0.5663804726203957,4.035440899430309e-05
0.73,0.5619667206391498,0.561926119876973,4.05931280335059e-05
0.74,0.5575476320861432,0.5575067988115866,4.082559669393859e-05
0.75,0.5531632935333892,0.5531222339142943,4.105189867342762e-05
0.76,0.5488134317201764,0.5487721518419282,4.127211641091755e-05
0.77,0.5444977755349211,0.5444562814010534,4.148633174405614e-05
0.78,0.5402160559977502,0.5401743535310615,4.1694625392496576e-05
0.79,0.5359680062440506,0.5359261012873965,4.1897077283969963e-05
0.8,0.5317533615077061,0.5317112598249131,4.209376643193874e-05
0.81,0.5275718591046015,0.5275295663813659,4.228477095391536e-05
0.8200000000000001,0.5234232384161808,0.523380760261028,4.247016800451586e-05
0.8300000000000001,0.519307240873437,0.5192645828184383,4.265003402370571e-05
0.84,0.5152236099406374,0.5151807774422777,4.2824444583922094e-05
0.85,0.5111720910992447,0.5111290895393711,4.299347431002687e-05
0.86,0.5071524318321685,0.5071092665188152,4.315719699909959e-05
0.87,0.5031643816082058,0.5031210577762317,4.331568581350531e-05
0.88,0.4992076918659817,0.49916421467814476,4.346901284074667e-05
0.89,0.49528211599880556,0.49523849054647917,4.3617249452343465e-05
0.9,0.4913874093392843,0.49134364064318337,4.376046629239738e-05
0.91,0.4875233291438981,0.4874794221549708,4.3898733115721456e-05
0.92,0.4836896345780224,0.48364559417818354,4.4032118941439435e-05
0.93,0.47988608670076754,0.47984191770377266,4.4160691917594086e-05
0.9400000000000001,0.4761124484503808,0.47606815560239896,4.428451961735469e-05
0.9500000000000001,0.4723684846290087,0.4723240726096489,4.440366858748934e-05
0.96,0.46865396188847175,0.46860943531136867,4.451820479078883e-05
0.97,0.4649686487155891,0.46492401212911155,4.462819348044489e-05
0.98,0.4613123154176698,0.4612675733057018,4.473369912832981e-05
0.99,0.45768473410803945,0.4576398908909105,4.483478527878004e-05
1.0,0.45408567869231165,0.45404073872724504,4.4931515025214974e-05
