time,interval,light_mass,heavy_mass,light_amplitude,heavy_amplitude,log_C,effective_mass,light_spectral_fraction,heavy_spectral_fraction
10.25,0.5,0.1,1.0,1e-12,1.0,-10.249999989852324,0.9999999884659042,1.0147675970736536e-08,0.9999999898523235
10.5,0.5,0.1,1.0,1e-12,1.0,-10.499999987291837,0.9999999855555899,1.2708165102168575e-08,0.9999999872918367
10.75,0.5,0.1,1.0,1e-12,1.0,-10.749999984085276,0.9999999819109373,1.5914723787530883e-08,0.9999999840852763
11.0,0.5,0.1,1.0,1e-12,1.0,-10.99999998006963,0.9999999773466559,1.9930370041010658e-08,0.99999998006963
11.25,0.5,0.1,1.0,1e-12,1.0,-11.249999975040744,0.9999999716307029,2.4959255018950176e-08,0.9999999750407443
11.5,0.5,0.1,1.0,1e-12,1.0,-11.499999968742959,0.999999964472485,3.1257041842607005e-08,0.999999968742959
11.75,0.5,0.1,1.0,1e-12,1.0,-11.749999960856098,0.9999999555080862,3.914390323173376e-08,0.9999999608560984
12.0,0.5,0.1,1.0,1e-12,1.0,-11.999999950979202,0.9999999442817662,4.902079873334306e-08,0.9999999509792031
12.25,0.5,0.1,1.0,1e-12,1.0,-12.24999993861014,0.9999999302227914,6.138985906029965e-08,0.9999999386101416
12.5,0.5,0.1,1.0,1e-12,1.0,-12.499999923120082,0.9999999126164182,7.687991385415618e-08,0.9999999231200855
12.75,0.5,0.1,1.0,1e-12,1.0,-12.749999903721534,0.9999998905675583,9.627846067077112e-08,0.9999999037215386
13.0,0.5,0.1,1.0,1e-12,1.0,-12.999999879428294,0.9999998629552715,1.205717004489142e-07,0.9999998794283017
13.25,0.5,0.1,1.0,1e-12,1.0,-13.249999849005313,0.9999998283757799,1.5099467480834802e-07,0.9999998490053245
13.5,0.5,0.1,1.0,1e-12,1.0,-13.499999810905928,0.9999997850711011,1.8909405408212995e-07,0.9999998109059459
13.75,0.5,0.1,1.0,1e-12,1.0,-13.749999763193204,0.9999997308396743,2.3680676812516827e-07,0.9999997631932317
14.0,0.5,0.1,1.0,1e-12,1.0,-13.999999703441478,0.9999996629244357,2.965584773512469e-07,0.9999997034415222
14.25,0.5,0.1,1.0,1e-12,1.0,-14.249999628613043,0.9999995778726543,3.7138689007593543e-07,0.9999996286131122
14.5,0.5,0.1,1.0,1e-12,1.0,-14.499999534903697,0.9999994713603994,4.6509619535408314e-07,0.9999995349038053
14.75,0.5,0.1,1.0,1e-12,1.0,-14.749999417549368,0.9999993379727192,5.82450462303239e-07,0.9999994175495379
15.0,0.5,0.1,1.0,1e-12,1.0,-14.999999270583896,0.9999991709283542,7.294158377998491e-07,0.9999992705841616
15.25,0.5,0.1,1.0,1e-12,1.0,-15.249999086535727,0.99999896173499,9.134638551055075e-07,0.9999990865361441
15.5,0.5,0.1,1.0,1e-12,1.0,-15.499998856048075,0.9999986997575272,1.143951272502145e-06,0.9999988560487292
15.75,0.5,0.1,1.0,1e-12,1.0,-15.749998567403225,0.9999983716774185,1.4325957512595821e-06,0.9999985674042507
16.0,0.5,0.1,1.0,1e-12,1.0,-15.999998205926836,0.9999979608155882,1.7940715539076974e-06,0.9999982059284456
16.25,0.5,0.1,1.0,1e-12,1.0,-16.24999775324193,0.9999974462845231,2.2467555443597e-06,0.9999977532444555
16.5,0.5,0.1,1.0,1e-12,1.0,-16.499997186334628,0.9999968019264256,2.8136614108460193e-06,0.9999971863385866
16.75,0.5,0.1,1.0,1e-12,1.0,-16.749996476384194,0.999995994983466,3.523609598885859e-06,0.9999964763904017
17.0,0.5,0.1,1.0,1e-12,1.0,-16.999995587297846,0.9999949844325424,4.4126924204101394e-06,0.9999955873075821
17.25,0.5,0.1,1.0,1e-12,1.0,-17.249994473875926,0.999993718899919,5.526108804753165e-06,0.9999944738911951
17.5,0.5,0.1,1.0,1e-12,1.0,-17.499993079514113,0.9999921340497705,6.920461938705683e-06,0.999993079538059
17.75,0.5,0.1,1.0,1e-12,1.0,-17.749991333325884,0.9999901493139318,8.666636558790376e-06,0.9999913333634394
18.0,0.5,0.1,1.0,1e-12,1.0,-17.999989146539,0.9999876637967091,1.0853402101448749e-05,0.9999891465978993
18.25,0.5,0.1,1.0,1e-12,1.0,-18.249986407982853,0.9999845511467164,1.3591924777308673e-05,0.9999864080752237
18.5,0.5,0.1,1.0,1e-12,1.0,-18.49998297843736,0.9999806531352987,1.7021417779567917e-05,0.9999829785822248
18.75,0.5,0.1,1.0,1e-12,1.0,-18.74997868355621,0.9999757716154739,2.131621659633162e-05,0.999978683783405
19.0,0.5,0.1,1.0,1e-12,1.0,-18.999973305005003,0.9999696584532461,2.6694638687984863e-05,0.9999733053613115
19.25,0.5,0.1,1.0,1e-12,1.0,-19.24996656936395,0.9999620029204142,3.343007725573839e-05,0.999966569922746
19.5,0.5,0.1,1.0,1e-12,1.0,-19.499958134231626,0.9999524159095142,4.186489201401705e-05,0.9999581351079853
19.75,0.5,0.1,1.0,1e-12,1.0,-19.74994757082416,0.9999404101708885,5.2427801460918226e-05,0.9999475721985436
20.0,0.5,0.1,1.0,1e-12,1.0,-19.999934342186386,0.9999253755710283,6.56556581888403e-05,0.9999343443418126
20.25,0.5,0.1,1.0,1e-12,1.0,-20.249917775909598,0.9999065481204552,8.222071009408967e-05,0.9999177792899058
20.5,0.5,0.1,1.0,1e-12,1.0,-20.499897029971898,0.9998829712060893,0.00010296472687028717,0.999897035273129
20.75,0.5,0.1,1.0,1e-12,1.0,-20.749871049969826,0.999853447072188,0.00012894171647657486,0.9998710582835241
21.0,0.5,0.1,1.0,1e-12,1.0,-20.999838515574947,0.9998164761066629,0.0001614713871490553,0.9998385286128547
21.25,0.5,0.1,1.0,1e-12,1.0,-21.249797773505918,0.9997701808829582,0.00020220604768119582,0.9997977939523172
21.5,0.5,0.1,1.0,1e-12,1.0,-21.499746753628273,0.9997122111535331,0.00025321430756997934,0.9997467856924284
21.75,0.5,0.1,1.0,1e-12,1.0,-21.7496828639474,0.9996396250552854,0.00031708577027883664,0.9996829142297212
22.0,0.5,0.1,1.0,1e-12,1.0,-21.99960285920504,0.9995487406291174,0.00039706194499199073,0.9996029380550078
22.25,0.5,0.1,1.0,1e-12,1.0,-22.249502676475046,0.9994349503268166,0.0004971998801122745,0.9995028001198926
22.5,0.5,0.1,1.0,1e-12,1.0,-22.4993772295196,0.9992924894222066,0.0006225765991146523,0.9993774234008845
22.75,0.5,0.1,1.0,1e-12,1.0,-22.74922015163845,0.9991141470962841,0.000779544358847075,0.9992204556411535
23.0,0.5,0.1,1.0,1e-12,1.0,-22.999023474230704,0.998890906358357,0.0009760491231730281,0.9990239508768278
23.25,0.5,0.1,1.0,1e-12,1.0,-23.248777225186593,0.9986114958261584,0.001222027528903811,0.9987779724710977
23.5,0.5,0.1,1.0,1e-12,1.0,-23.498468927409885,0.9982618326538862,0.0015299010964373095,0.998470098903566
23.75,0.5,0.1,1.0,1e-12,1.0,-23.74808297309967,0.9978243315266677,0.0019151905778744267,0.9980848094221246
24.0,0.5,0.1,1.0,1e-12,1.0,-23.99759984373683,0.997277049640032,0.0023972781911995185,0.9976027218088048
24.25,0.5,0.1,1.0,1e-12,1.0,-24.246995138863007,0.9965926320515069,0.0030003510602844095,0.9969996489397172
24.5,0.5,0.1,1.0,1e-12,1.0,-24.496238368556842,0.9957370159854737,0.0037545653703661844,0.9962454346296351
24.75,0.5,0.1,1.0,1e-12,1.0,-24.74529145488876,0.9946678471139426,0.004697477290634072,0.9953025227093687
