steps,t,energy,integrated_work,work_defect,norm_defect
80,0.9500000000000001,2.216363021724799,2.2164357171309472,-7.269540614807113e-05,-1.7763568394002505e-15
80,0.9750000000000001,2.3026643203729056,2.302740671260209,-7.635088730362227e-05,-1.9984014443252818e-15
80,1.0,2.3880967638580617,2.388176566486148,-7.980262808615635e-05,-1.9984014443252818e-15
80,1.025,2.472486135535301,2.4725691458160526,-8.301028075141659e-05,-1.7763568394002505e-15
80,1.05,2.5556651656862868,2.555751100063711,-8.593437742421273e-05,-1.6653345369377348e-15
80,1.075,2.637474436185997,2.6375629731433103,-8.853695731314559e-05,-6.661338147750939e-16
80,1.0999999999999999,2.7177632326188337,2.7178540148374806,-9.078221864688985e-05,-1.3322676295501878e-15
80,1.125,2.7963903309802225,2.7964829681653227,-9.263718510021945e-05,-1.2212453270876722e-15
80,1.15,2.8732247061884477,2.873318778563325,-9.4072374877463e-05,-9.992007221626409e-16
80,1.175,2.9481461499598565,2.948241212418438,-9.506245858137419e-05,-1.2212453270876722e-15
80,1.2,3.021045786190808,3.021141373081556,-9.558689074795623e-05,-6.661338147750939e-16
80,1.225,3.0918264728616025,3.091922103360094,-9.563049849159455e-05,-5.551115123125783e-16
80,1.25,3.160403080643163,3.1604982646531115,-9.51840099485679e-05,0.0
80,1.275,3.2267026398520997,3.226796884357002,-9.424450490236325e-05,4.440892098500626e-16
80,1.3,3.2906643491604544,3.290757164930628,-9.281577017361542e-05,4.440892098500626e-16
80,1.325,3.3522394415091714,3.352330350052486,-9.090854331450515e-05,6.661338147750939e-16
80,1.35,3.4113909049749105,3.4114794456046327,-8.854062972218912e-05,1.1102230246251565e-15
80,1.375,3.4680930588623062,3.4681787957429715,-8.573688066526586e-05,1.7763568394002505e-15
80,1.4,3.522330987991322,3.522413517013981,-8.252902265937223e-05,1.5543122344752192e-15
80,1.425,3.574099840963891,3.574178796296256,-7.895533236501606e-05,1.3322676295501878e-15
80,1.45,3.6234040010583812,3.623479061213752,-7.506015537073196e-05,1.5543122344752192e-15
80,1.475,3.6702561412391574,3.670327034510981,-7.089327182363547e-05,1.3322676295501878e-15
80,1.5,3.7146761775005173,3.7147426866173454,-6.650911682815064e-05,8.881784197001252e-16
80,1.525,3.7566901373057817,3.7567521031742355,-6.196586845375052e-05,2.220446049250313e-16
80,1.55,3.7963289621493335,3.7963862865704034,-5.7324421069981923e-05,2.220446049250313e-16
80,1.575,3.8336272651817103,3.833679912447967,-5.264726625675564e-05,4.440892098500626e-16
80,1.6,3.868622066322325,3.8686700636296703,-4.7997307345060136e-05,1.3322676295501878e-15
80,1.625,3.901351528277481,3.901394964914516,-4.343663703521017e-05,1.1102230246251565e-15
80,1.65,3.9318537173342643,3.931892742643869,-3.9025309604756586e-05,1.7763568394002505e-15
80,1.675,3.9601654126793346,3.960200232819953,-3.482014061839678e-05,1.9984014443252818e-15
80,1.7,3.9863209872809495,3.9863518608478508,-3.0873566901234994e-05,2.886579864025407e-15
80,1.725,4.010351382076075,4.010378614674674,-2.723259859926941e-05,3.774758283725532e-15
80,1.75,4.032283193346667,4.032307131239391,-2.3937892724035237e-05,3.9968028886505635e-15
80,1.775,4.052137890793134,4.052158913767378,-2.102297424411148e-05,4.884981308350689e-15
80,1.8,4.069931180980336,4.069949694606764,-1.8513626428351415e-05,4.218847493575595e-15
80,1.825,4.085672527620089,4.085688955086981,-1.642746689256569e-05,4.440892098500626e-15
80,1.85,4.099364836654413,4.099379610374609,-1.4773720196536999e-05,4.218847493575595e-15
80,1.875,4.111004310417326,4.111017863608848,-1.3553191521964436e-05,5.10702591327572e-15
80,1.9,4.120580471385699,4.120593229825575,-1.2758439876137118e-05,4.6629367034256575e-15
80,1.925,4.128076352291168,4.128088726434184,-1.237414301602513e-05,4.440892098500626e-15
80,1.95,4.133468845761254,4.13348122340195,-1.2377640696392689e-05,4.884981308350689e-15
80,1.975,4.136729203289942,4.136741942927475,-1.2739637533343284e-05,4.218847493575595e-15
80,2.0,4.13782367029636,4.1378370953387975,-1.342504243773135e-05,4.884981308350689e-15
160,0.0125,0.00048189879218485355,0.0004818987930939586,-9.091050395121369e-13,-1.1102230246251565e-16
160,0.025,0.0019274093168555047,0.0019274093369920971,-2.0136592480263227e-11,-1.1102230246251565e-16
160,0.037500000000000006,0.004335973807411238,0.004335973914519701,-1.0710846359146542e-10,-2.220446049250313e-16
160,0.05,0.007706661951129475,0.0077066622950848155,-3.4395534077164003e-10,-4.440892098500626e-16
160,0.0625,0.012038169841629342,0.012038170686776303,-8.451469610953888e-10,-2.220446049250313e-16
160,0.075,0.017328818522401257,0.017328820279379042,-1.7569777854831159e-09,-5.551115123125783e-16
160,0.08750000000000001,0.023576552131422953,0.023576555388336633,-3.256913679722251e-09,-3.3306690738754696e-16
160,0.1,0.030778935659695104,0.030778941212489763,-5.552794658109095e-09,-4.440892098500626e-16
160,0.1125,0.038933152339265,0.03893316122116598,-8.881900985524549e-09,-1.1102230246251565e-15
160,0.125,0.04803600067899597,0.04803601418888237,-1.3509886397089499e-08,-6.661338147750939e-16
160,0.1375,0.05808389116895918,0.05808391089853654,-1.972957736073866e-08,-9.992007221626409e-16
160,0.15000000000000002,0.0690728426768431,0.06907287053649291,-2.7859649809336418e-08,-1.3322676295501878e-15
160,0.16250000000000003,0.08099847856222754,0.08099851680540986,-3.824318231537838e-08,-1.6653345369377348e-15
160,0.17500000000000002,0.09385602253689589,0.09385607378299016,-5.1246094270873677e-08,-2.220446049250313e-15
160,0.18750000000000003,0.10764029430158849,0.10764036155706193,-6.72554734404418e-08,-2.3314683517128287e-15
160,0.2,0.12234570499170164,0.12234579166950175,-8.667780011795134e-08,-1.887379141862766e-15
160,0.21250000000000002,0.13796625246641447,0.13796636240348717,-1.0993707269535413e-07,-1.5543122344752192e-15
160,0.22500000000000003,0.1544955164775614,0.15449565395040385,-1.374728424430316e-07,-1.3322676295501878e-15
160,0.23750000000000002,0.17192665375626123,0.17192682349442728,-1.697381660503705e-07,-2.3314683517128287e-15
160,0.25,0.19025239305686112,0.19025260025434113,-2.0719748000663785e-07,-2.55351295663786e-15
160,0.2625,0.2094650301991316,0.20946528052354,-2.503244083962297e-07,-2.55351295663786e-15
160,0.275,0.22955642315087843,0.22955672275038658,-2.9959950814673064e-07,-2.6645352591003757e-15
160,0.28750000000000003,0.2505179871941828,0.25051834270214746,-3.5550796467775925e-07,-2.3314683517128287e-15
160,0.30000000000000004,0.2723406902193734,0.2723411087566136,-4.185372401988019e-07,-2.7755575615628914e-15
160,0.31250000000000006,0.29501504819153074,0.29501553736621833,-4.891746875901326e-07,-3.3306690738754696e-15
160,0.325,0.318531120834852,0.31853168873999216,-5.679051401363822e-07,-3.552713678800501e-15
160,0.3375,0.34287850758056754,0.34287916278904207,-6.552084745314879e-07,-3.3306690738754696e-15
160,0.35000000000000003,0.368046343824235,0.3680470953814065,-7.51557171496664e-07,-2.55351295663786e-15
160,0.36250000000000004,0.3940232975382314,0.3940241549521189,-8.574138875006021e-07,-4.3298697960381105e-15
160,0.37500000000000006,0.4207975662851453,0.42079853951411644,-9.73228971135054e-07,-3.1086244689504383e-15
160,0.3875,0.4483568746771359,0.44835797411523953,-1.0994381036133483e-06,-1.2212453270876722e-15
160,0.4,0.4766884723261545,0.47668970878601485,-1.236459860332051e-06,-7.771561172376096e-16
160,0.41250000000000003,0.505779132328815,0.5057805170221678,-1.3846933527572602e-06,-1.7763568394002505e-15
160,0.42500000000000004,0.5356151503289999,0.5356166948448958,-1.5445158959570549e-06,-8.881784197001252e-16
160,0.43750000000000006,0.5661823442000997,0.5661840604808459,-1.716280746189014e-06,-1.6653345369377348e-15
160,0.45,0.5974660543876312,0.5974679547024838,-1.9003148525875702e-06,-2.1094237467877974e-15
160,0.4625,0.6294511449514146,0.6294532418681221,-2.096916707494678e-06,-1.3322676295501878e-15
