degree,tolerance,t,lambda1,lambda2,energy,integrated_work,work_defect,norm_defect,V1,V2
3,1e-09,0.21250000000000002,0.05519395353312195,0.08279093029968293,0.1379664097573728,0.13796640947933525,2.780375374378252e-10,-3.745714849401338e-11,0.9996909333475895,0.9995364000513801
3,1e-09,0.225,0.06180866407751584,0.09271299611627376,0.15449571309922333,0.15449571245597754,6.432457899663291e-10,-4.759093119588442e-11,0.9996123524328099,0.9994185286967886
3,1e-09,0.23750000000000002,0.06878506524119643,0.10317759786179465,0.17192689647422602,0.17192689563234542,8.418805930165973e-10,-7.123546197362884e-11,0.999519824853226,0.9992797373616212
3,1e-09,0.25,0.07612046748871326,0.11418070123306989,0.19025268936056658,0.1902526886802177,6.803488883377895e-10,-7.561640202879971e-11,0.999411846062138,0.9991177692151593
3,1e-09,0.2625,0.08381204288286404,0.12571806432429605,0.20946538829422368,0.2094653880748751,2.193485670876072e-10,-2.75784950432012e-11,0.9992868489803274,0.998930273631962
3,1e-09,0.275,0.09185682617491875,0.13778523926237812,0.22955685180779412,0.22955685178467783,2.3116286662627772e-11,2.6216806503498447e-12,0.9991432064871117,0.9987148099846732
3,1e-09,0.28750000000000003,0.1002517159477786,0.1503775739216679,0.25051849586552716,0.25051849585074415,1.4783008150942578e-11,2.3216983890961274e-12,0.9989792353531682,0.9984688534610233
3,1e-09,0.30000000000000004,0.1089934758116321,0.16349021371744815,0.272341289107324,0.2723412890911445,1.617950218246733e-11,3.006928039894774e-12,0.9987931990680448,0.9981897993160063
3,1e-09,0.3125,0.11807873565164495,0.17711810347746743,0.29501574819544535,0.29501574821958637,-2.414102251435679e-11,-2.6505464489900987e-12,0.998583310692135,0.9978749671992344
3,1e-09,0.325,0.12750399292720282,0.19125598939080424,0.318531933556576,0.3185319336482227,-9.164669023675742e-11,-7.346789843154511e-12,0.9983477363838978,0.9975216064224266
3,1e-09,0.3375,0.13726561402220816,0.20589842103331224,0.34287944532049336,0.34287944542613685,-1.056434939528117e-10,-1.8107737531636303e-12,0.9980845987859541,0.997126901053806
3,1e-09,0.35000000000000003,0.14735983564590782,0.22103975346886173,0.36804741956343145,0.3680474195719878,-8.556322317332388e-12,9.36362098968857e-12,0.9977919804835286,0.9966879751265592
3,1e-09,0.36250000000000004,0.15778276628371346,0.2366741494255702,0.39402452491675993,0.39402452476698824,1.4977169504604149e-10,1.1264544852451763e-11,0.9974679275788916,0.9962018980142789
3,1e-09,0.375,0.16853038769745476,0.25279558154618215,0.4207989595915236,0.4207989593743884,2.1713519871013887e-10,4.360956040727615e-13,0.9971104533936543,0.9956656899910952
3,1e-09,0.3875,0.17959855647448641,0.2693978347117296,0.44835844884730464,0.4483584487516402,9.566442082942217e-11,-2.3105961588498758e-12,0.9967175422755643,0.9950763279552706
3,1e-09,0.4,0.19098300562505255,0.2864745084375788,0.4766902429022854,0.4766902428839301,1.8355317266127713e-11,2.034150625718212e-12,0.9962871534398153,0.9944307512384476
3,1e-09,0.41250000000000003,0.2026793462272929,0.30401901934093933,0.5057811154275059,0.505781115412113,1.5392909169520408e-11,2.667865928174251e-12,0.9958172247500666,0.9937258673149103
3,1e-09,0.42500000000000004,0.21468306911925517,0.32202460367888275,0.5356173626158222,0.5356173626090325,6.789679929397607e-12,1.1226575225009583e-12,0.9953056767177701,0.9929585578300393
